pdf_page	printed_page	part	chapter	section	scan_classification	source_image	mapping_confidence
43	29	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-043.png	high
44	30	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-044.png	high
45	31	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-045.png	high
46	32	body	I	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-046.png	high
47	33	body	I	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-047.png	high
48	34	body	I	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-048.png	high
49	35	body	I	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-049.png	high
50	36	body	I	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-050.png	high
51	37	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-051.png	high
52	38	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-052.png	high
53	39	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-053.png	high
54	40	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-054.png	high
55	41	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-055.png	high
56	42	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-056.png	high
57	43	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-057.png	high
58	44	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-058.png	high
59	45	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-059.png	high
60	46	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-060.png	high
61	47	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-061.png	high
62	48	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-062.png	high
63	49	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-063.png	high
64	50	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-064.png	high
65	51	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-065.png	high
66	52	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-066.png	high
67	53	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-067.png	high
68	54	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-068.png	high
69	55	body	I	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-069.png	high
70	56	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-070.png	high
71	57	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-071.png	high
72	58	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-072.png	high
73	59	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-073.png	high
74	60	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-074.png	high
75	61	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-075.png	high
76	62	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-076.png	high
77	63	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-077.png	high
78	64	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-078.png	high
79	65	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-079.png	high
80	66	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-080.png	high
81	67	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-081.png	high
82	68	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-082.png	high
83	69	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-083.png	high
84	70	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-084.png	high
85	71	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-085.png	high
86	72	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-086.png	high
87	73	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-087.png	high
88	74	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-088.png	high
89	75	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-089.png	high
90	76	body	I	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-090.png	high
91	77	body	I	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-091.png	high
92	78	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-092.png	high
93	79	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-093.png	high
94	80	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-094.png	high
95	81	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-095.png	high
96	82	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-096.png	high
97	83	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-097.png	high
98	84	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-098.png	high
99	85	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-099.png	high
100	86	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-100.png	high
101	87	body	I	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-101.png	high
102	88	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-102.png	high
103	89	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-103.png	high
104	90	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-104.png	high
105	91	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-105.png	high
106	92	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-106.png	high
107	93	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-107.png	high
108	94	body	I	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-108.png	high
109	95	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-109.png	high
110	96	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-110.png	high
111	97	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-111.png	high
112	98	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-112.png	high
113	99	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-113.png	high
114	100	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-114.png	high
115	101	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-115.png	high
116	102	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-116.png	high
117	103	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-117.png	high
118	104	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-118.png	high
119	105	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-119.png	high
120	106	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-120.png	high
121	107	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-121.png	high
122	108	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-122.png	high
123	109	body	I	Appendix A	scan-good	workspace/pages/original/diagnostic-120dpi/page-123.png	high
124	110	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-124.png	high
125	111	body	I	Appendix A	scan-medium	workspace/pages/original/diagnostic-120dpi/page-125.png	high
126	112	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-126.png	high
127	113	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-127.png	high
128	114	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-128.png	high
129	115	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-129.png	high
130	116	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-130.png	high
131	117	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-131.png	high
132	118	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-132.png	high
133	119	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-133.png	high
134	120	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-134.png	high
135	121	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-135.png	high
136	122	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-136.png	high
137	123	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-137.png	high
138	124	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-138.png	high
139	125	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-139.png	high
140	126	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-140.png	high
141	127	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-141.png	high
142	128	body	II	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-142.png	high
143	129	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-143.png	high
144	130	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-144.png	high
145	131	body	II	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-145.png	high
146	132	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-146.png	high
147	133	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-147.png	high
148	134	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-148.png	high
149	135	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-149.png	high
150	136	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-150.png	high
151	137	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-151.png	high
152	138	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-152.png	high
153	139	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-153.png	high
154	140	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-154.png	high
155	141	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-155.png	high
156	142	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-156.png	high
157	143	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-157.png	high
158	144	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-158.png	high
159	145	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-159.png	high
160	146	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-160.png	high
161	147	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-161.png	high
162	148	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-162.png	high
163	149	body	II	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-163.png	high
164	150	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-164.png	high
165	151	body	II	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-165.png	high
166	152	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-166.png	high
167	153	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-167.png	high
168	154	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-168.png	high
169	155	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-169.png	high
170	156	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-170.png	high
171	157	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-171.png	high
172	158	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-172.png	high
173	159	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-173.png	high
174	160	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-174.png	high
175	161	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-175.png	high
176	162	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-176.png	high
177	163	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-177.png	high
178	164	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-178.png	high
179	165	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-179.png	high
180	166	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-180.png	high
181	167	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-181.png	high
182	168	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-182.png	high
183	169	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-183.png	high
184	170	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-184.png	high
185	171	body	II	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-185.png	high
186	172	body	II	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-186.png	high
187	173	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-187.png	high
188	174	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-188.png	high
189	175	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-189.png	high
190	176	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-190.png	high
191	177	body	II	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-191.png	high
192	178	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-192.png	high
193	179	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-193.png	high
194	180	body	II	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-194.png	high
195	181	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-195.png	high
196	182	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-196.png	high
197	183	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-197.png	high
198	184	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-198.png	high
199	185	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-199.png	high
200	186	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-200.png	high
201	187	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-201.png	high
202	188	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-202.png	high
203	189	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-203.png	high
204	190	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-204.png	high
205	191	body	II	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-205.png	high
206	192	body	II	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-206.png	high
207	193	body	III	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-207.png	high
208	194	body	III	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-208.png	high
209	195	body	III	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-209.png	high
210	196	body	III	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-210.png	high
211	197	body	III	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-211.png	high
212	198	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-212.png	high
213	199	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-213.png	high
214	200	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-214.png	high
215	201	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-215.png	high
216	202	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-216.png	high
217	203	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-217.png	high
218	204	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-218.png	high
219	205	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-219.png	high
220	206	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-220.png	high
221	207	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-221.png	high
222	208	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-222.png	high
223	209	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-223.png	high
224	210	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-224.png	high
225	211	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-225.png	high
226	212	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-226.png	high
227	213	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-227.png	high
228	214	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-228.png	high
229	215	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-229.png	high
230	216	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-230.png	high
231	217	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-231.png	high
232	218	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-232.png	high
233	219	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-233.png	high
234	220	body	III	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-234.png	high
235	221	body	III	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-235.png	high
236	222	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-236.png	high
237	223	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-237.png	high
238	224	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-238.png	high
239	225	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-239.png	high
240	226	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-240.png	high
241	227	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-241.png	high
242	228	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-242.png	high
243	229	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-243.png	high
244	230	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-244.png	high
245	231	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-245.png	high
246	232	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-246.png	high
247	233	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-247.png	high
248	234	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-248.png	high
249	235	body	III	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-249.png	high
250	236	body	III	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-250.png	high
251	237	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-251.png	high
252	238	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-252.png	high
253	239	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-253.png	high
254	240	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-254.png	high
255	241	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-255.png	high
256	242	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-256.png	high
257	243	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-257.png	high
258	244	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-258.png	high
259	245	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-259.png	high
260	246	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-260.png	high
261	247	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-261.png	high
262	248	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-262.png	high
263	249	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-263.png	high
264	250	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-264.png	high
265	251	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-265.png	high
266	252	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-266.png	high
267	253	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-267.png	high
268	254	body	III	4	scan-medium	workspace/pages/original/diagnostic-120dpi/page-268.png	high
269	255	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-269.png	high
270	256	body	III	4	scan-good	workspace/pages/original/diagnostic-120dpi/page-270.png	high
271	257	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-271.png	high
272	258	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-272.png	high
273	259	body	III	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-273.png	high
274	260	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-274.png	high
275	261	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-275.png	high
276	262	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-276.png	high
277	263	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-277.png	high
278	264	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-278.png	high
279	265	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-279.png	high
280	266	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-280.png	high
281	267	body	III	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-281.png	high
282	268	body	III	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-282.png	high
283	269	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-283.png	high
284	270	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-284.png	high
285	271	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-285.png	high
286	272	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-286.png	high
287	273	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-287.png	high
288	274	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-288.png	high
289	275	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-289.png	high
290	276	body	III	5	scan-good	workspace/pages/original/diagnostic-120dpi/page-290.png	high
291	277	body	III	5	scan-medium	workspace/pages/original/diagnostic-120dpi/page-291.png	high
292	278	body	IV	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-292.png	high
293	279	body	IV	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-293.png	high
294	280	body	IV	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-294.png	high
295	281	body	IV	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-295.png	high
296	282	body	IV	1	scan-medium	workspace/pages/original/diagnostic-120dpi/page-296.png	high
297	283	body	IV	1	scan-good	workspace/pages/original/diagnostic-120dpi/page-297.png	high
298	284	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-298.png	high
299	285	body	IV	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-299.png	high
300	286	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-300.png	high
301	287	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-301.png	high
302	288	body	IV	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-302.png	high
303	289	body	IV	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-303.png	high
304	290	body	IV	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-304.png	high
305	291	body	IV	2	scan-medium	workspace/pages/original/diagnostic-120dpi/page-305.png	high
306	292	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-306.png	high
307	293	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-307.png	high
308	294	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-308.png	high
309	295	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-309.png	high
310	296	body	IV	2	scan-good	workspace/pages/original/diagnostic-120dpi/page-310.png	high
311	297	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-311.png	high
312	298	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-312.png	high
313	299	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-313.png	high
314	300	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-314.png	high
315	301	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-315.png	high
316	302	body	IV	3	scan-good	workspace/pages/original/diagnostic-120dpi/page-316.png	high
317	303	body	IV	3	scan-medium	workspace/pages/original/diagnostic-120dpi/page-317.png	high
