Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
L. Carleson	L. Carleson	person	PDF 32 / printed 20	Latin	Yes	needs-review	Initial and spacing preserved
R. Hunt	R. Hunt	person	PDF 32 / printed 20	Latin	Yes	needs-review	Initial and spacing preserved
Kolmogorov	Kolmogorov	person	PDF 32 / printed 20	Latin	Yes	needs-review	Preserve source form
J. Gibbs	J. Gibbs	person	PDF 33 / printed 21	Latin	Yes	needs-review	Initial and spacing preserved
H. Wilbraham	H. Wilbraham	person	PDF 33 / printed 21	Latin	Yes	needs-review	Initial and spacing preserved
E. Hewitt	E. Hewitt	person	PDF 33 / printed 21	Latin	Yes	needs-review	Initial and spacing preserved
W. Beckner	W. Beckner	person	PDF 33 / printed 21	Latin	Yes	needs-review	Initial and spacing preserved
K. I. Babenko	K. I. Babenko	person	PDF 33 / printed 21	Latin	Yes	needs-review	Initials and spacing preserved
Hermite	Hermite	personal-name element	PDF 34 / printed 22	Latin	Yes	needs-review	Preserve in eponym
S. Bochner	S. Bochner	person	PDF 35 / printed 23	Latin	Yes	needs-review	Initial and spacing preserved
F. Riesz	F. Riesz	person	PDF 52 / printed 40	Latin	Yes	needs-review	Initial and spacing preserved
C. Herz	C. Herz	person	PDF 53 / printed 41	Latin	Yes	needs-review	Initial and spacing preserved
G. G. Lorentz	G. G. Lorentz	person	PDF 53 / printed 41	Latin	Yes	needs-review	Initials and spacing preserved
García-Cuerva	García-Cuerva	person	PDF 54 / printed 42	Latin with accent	Yes	needs-review	Accent and hyphen preserved
Rubio de Francia	Rubio de Francia	person	PDF 54 / printed 42	Latin	Yes	needs-review	Spacing and name order preserved
M. A. Krasnosel'skiĭ	M. A. Krasnosel'skiĭ	person	PDF 54 / printed 42	Latin with breve	Yes	needs-review	Initials, apostrophe, spacing, and breve preserved
Ya. B. Rutickiĭ	Ya. B. Rutickiĭ	person	PDF 54 / printed 42	Latin with breve	Yes	needs-review	Initials, spacing, and breve preserved
M. M. Rao	M. M. Rao	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initials and spacing preserved
Z. D. Ren	Z. D. Ren	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initials and spacing preserved
J.-O. Strömberg	J.-O. Strömberg	person	PDF 55 / printed 43	Latin with accent	Yes	needs-review	Initials, hyphen, spacing, and accent preserved
I. Peral	I. Peral	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initial and spacing preserved
J. L. Rubio de Francia	J. L. Rubio de Francia	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initials, spacing, and name order preserved
L. Grafakos	L. Grafakos	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initial and spacing preserved
S. Montgomery-Smith	S. Montgomery-Smith	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initial, spacing, and hyphen preserved
J. M. Aldaz	J. M. Aldaz	person	PDF 55 / printed 43	Latin	Yes	needs-review	Initials and spacing preserved
A. Besicovitch	A. Besicovitch	person	PDF 56 / printed 44	Latin	Yes	needs-review	Initial and spacing preserved
A. P. Morse	A. P. Morse	person	PDF 56 / printed 44	Latin	Yes	needs-review	Initials and spacing preserved
M. de Guzmán	M. de Guzmán	person	PDF 56 / printed 44	Latin with accent	Yes	needs-review	Initial, spacing, name order, and accent preserved
P. Sjögren	P. Sjögren	person	PDF 57 / printed 45	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
A. Vargas	A. Vargas	person	PDF 57 / printed 45	Latin	Yes	needs-review	Initial and spacing preserved
A. Nagel	A. Nagel	person	PDF 57 / printed 45	Latin	Yes	needs-review	Initial and spacing preserved
D. Cruz-Uribe	D. Cruz-Uribe	person	PDF 57 / printed 45	Latin	Yes	needs-review	Initial, spacing, and hyphen preserved
C. J. Neugebauer	C. J. Neugebauer	person	PDF 57 / printed 45	Latin	Yes	needs-review	Initials and spacing preserved
V. Olesen	V. Olesen	person	PDF 57 / printed 45	Latin	Yes	needs-review	Initial and spacing preserved
B. Jessen	B. Jessen	person	PDF 58 / printed 46	Latin	Yes	needs-review	Initial and spacing preserved
A. Córdoba	A. Córdoba	person	PDF 58 / printed 46	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
R. Fefferman	R. Fefferman	person	PDF 58 / printed 46	Latin	Yes	needs-review	Initial and spacing preserved
R. J. Bagby	R. J. Bagby	person	PDF 58 / printed 46	Latin	Yes	needs-review	Initials and spacing preserved
A. M. Bruckner	A. M. Bruckner	person	PDF 58 / printed 46	Latin	Yes	needs-review	Initials and spacing preserved
Kakeya	Kakeya	personal-name element	PDF 58 / printed 46	Latin	Yes	needs-review	Preserve in eponym
M. Christ	M. Christ	person	PDF 59 / printed 47	Latin	Yes	needs-review	Initial and spacing preserved
J. Duoandikoetxea	J. Duoandikoetxea	person	PDF 59 / printed 47	Latin	Yes	needs-review	Initial and spacing preserved
J. Bourgain	J. Bourgain	person	PDF 59 / printed 47	Latin	Yes	needs-review	Initial and spacing preserved
T. Wolff	T. Wolff	person	PDF 59 / printed 47	Latin	Yes	needs-review	Initial and spacing preserved
H. Rossi	H. Rossi	person	PDF 59 / printed 47	Latin	Yes	needs-review	Initial and spacing preserved
Hilbert	Hilbert	personal-name element	PDF 61 / printed 49	Latin	Yes	needs-review	Preserve in eponym
M. Riesz	M. Riesz	person	PDF 63 / printed 51	Latin	Yes	needs-review	Initial and spacing preserved
Cotlar	Cotlar	personal-name element	PDF 68 / printed 56	Latin	Yes	needs-review	Preserve in eponym
Stieltjes	Stieltjes	personal-name element	PDF 71 / printed 59	Latin	Yes	needs-review	Preserve in eponym
M. Cotlar	M. Cotlar	person	PDF 73 / printed 61	Latin	Yes	needs-review	Initial and spacing preserved
A. P. Calderón	A. P. Calderón	person	PDF 73 / printed 61	Latin with accent	Yes	needs-review	Initials, spacing, and accent preserved
P. Stein	P. Stein	person	PDF 73 / printed 61	Latin	Yes	needs-review	Initial and spacing preserved
L. H. Loomis	L. H. Loomis	person	PDF 73 / printed 61	Latin	Yes	needs-review	Initials and spacing preserved
Bary	Bary	person	PDF 74 / printed 62	Latin	Yes	needs-review	Preserve source form
Koosis	Koosis	person	PDF 74 / printed 62	Latin	Yes	needs-review	Preserve source form
Baire	Baire	personal-name element	PDF 74 / printed 62	Latin	Yes	needs-review	Preserve in eponym
Cauchy	Cauchy	personal-name element	PDF 75 / printed 63	Latin	Yes	needs-review	Preserve in eponym
M. L. Cartwright	M. L. Cartwright	person	PDF 75 / printed 63	Latin	Yes	needs-review	Initials and spacing preserved
Titchmarsh	Titchmarsh	person	PDF 75 / printed 63	Latin	Yes	needs-review	Preserve source form
N. Lusin	N. Lusin	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initial and spacing preserved
E. M. Dyn'kin	E. M. Dyn'kin	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initials, spacing, and apostrophe preserved
V. Havin	V. Havin	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initial and spacing preserved
N. Nikolskii	N. Nikolskii	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initial and spacing preserved
Schur	Schur	person	PDF 76 / printed 64	Latin	Yes	needs-review	Preserve source form
S. K. Pichorides	S. K. Pichorides	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initials and spacing preserved
I. Gohberg	I. Gohberg	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initial and spacing preserved
N. Krupnik	N. Krupnik	person	PDF 76 / printed 64	Latin	Yes	needs-review	Initial and spacing preserved
B. Davis	B. Davis	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initial and spacing preserved
Brownian	Brownian	personal-name element	PDF 77 / printed 65	Latin	Yes	needs-review	Preserve in eponym
A. Baernstein	A. Baernstein	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initial and spacing preserved
O. Capri	O. Capri	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initial and spacing preserved
E. Hille	E. Hille	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initial and spacing preserved
J. D. Tamarkin	J. D. Tamarkin	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initials and spacing preserved
J. F. Toland	J. F. Toland	person	PDF 77 / printed 65	Latin	Yes	needs-review	Initials and spacing preserved
J. Brossard	J. Brossard	person	PDF 78 / printed 66	Latin	Yes	needs-review	Initial and spacing preserved
L. Chevalier	L. Chevalier	person	PDF 78 / printed 66	Latin	Yes	needs-review	Initial and spacing preserved
L. Hörmander	L. Hörmander	person	PDF 78 / printed 66	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
G. Weiss	G. Weiss	person	PDF 80 / printed 68	Latin	Yes	needs-review	Initial and spacing preserved
Newton	Newton	personal-name element	PDF 82 / printed 70	Latin	Yes	needs-review	Preserve in eponym
Lipschitz	Lipschitz	personal-name element	PDF 81 / printed 69	Latin	Yes	needs-review	Preserve in eponym
Neri	Neri	person	PDF 97 / printed 85	Latin	Yes	needs-review	Preserve source form
Bochner	Bochner	personal-name element	PDF 97 / printed 85	Latin	Yes	needs-review	Preserve in eponym
Hecke	Hecke	personal-name element	PDF 97 / printed 85	Latin	Yes	needs-review	Preserve in eponym
S. Axler	S. Axler	person	PDF 98 / printed 86	Latin	Yes	needs-review	Initial and spacing preserved
P. Bourdon	P. Bourdon	person	PDF 98 / printed 86	Latin	Yes	needs-review	Initial and spacing preserved
W. Ramey	W. Ramey	person	PDF 98 / printed 86	Latin	Yes	needs-review	Initial and spacing preserved
M. Cowling	M. Cowling	person	PDF 99 / printed 87	Latin	Yes	needs-review	Initial and spacing preserved
G. Mauceri	G. Mauceri	person	PDF 99 / printed 87	Latin	Yes	needs-review	Initial and spacing preserved
M. Weiss	M. Weiss	person	PDF 99 / printed 87	Latin	Yes	needs-review	Initial and spacing preserved
A. Seeger	A. Seeger	person	PDF 100 / printed 88	Latin	Yes	needs-review	Initial and spacing preserved
S. Hofmann	S. Hofmann	person	PDF 100 / printed 88	Latin	Yes	needs-review	Initial and spacing preserved
F. Soria	F. Soria	person	PDF 100 / printed 88	Latin	Yes	needs-review	Initial and spacing preserved
L. Hedberg	L. Hedberg	person	PDF 101 / printed 89	Latin	Yes	needs-review	Initial and spacing preserved
B. Muckenhoupt	B. Muckenhoupt	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initial and spacing preserved
R. Wheeden	R. Wheeden	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initial and spacing preserved
D. R. Adams	D. R. Adams	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initials and spacing preserved
Sobolev	Sobolev	personal-name element	PDF 102 / printed 90	Latin	Yes	needs-review	Preserve in eponym
S. L. Sobolev	S. L. Sobolev	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initials and spacing preserved
R. Adams	R. Adams	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initial and spacing preserved
W. Ziemer	W. Ziemer	person	PDF 102 / printed 90	Latin	Yes	needs-review	Initial and spacing preserved
Dini	Dini	personal-name element	PDF 105 / printed 93	Latin	Yes	needs-review	Preserve in eponym
Coifman	Coifman	person	PDF 111 / printed 99	Latin	Yes	needs-review	Preserve source form
Meyer	Meyer	person	PDF 111 / printed 99	Latin	Yes	needs-review	Preserve source form
A. Benedek	A. Benedek	person	PDF 119 / printed 107	Latin	Yes	needs-review	Initial and spacing preserved
R. Panzone	R. Panzone	person	PDF 119 / printed 107	Latin	Yes	needs-review	Initial and spacing preserved
Journé	Journé	person	PDF 119 / printed 107	Latin with accent	Yes	needs-review	Preserve source accent
N. I. Muskhelishvili	N. I. Muskhelishvili	person	PDF 119 / printed 107	Latin	Yes	needs-review	Initials and spacing preserved
F. J. Ruiz	F. J. Ruiz	person	PDF 119 / printed 107	Latin	Yes	needs-review	Initials and spacing preserved
J. L. Torrea	J. L. Torrea	person	PDF 119 / printed 107	Latin	Yes	needs-review	Initials and spacing preserved
A. Calderón	A. Calderón	person	PDF 123 / printed 111	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
I. Hirschman	I. Hirschman	person	PDF 124 / printed 112	Latin	Yes	needs-review	Initial and spacing preserved
S. Wainger	S. Wainger	person	PDF 124 / printed 112	Latin	Yes	needs-review	Initial and spacing preserved
P. Sjölin	P. Sjölin	person	PDF 125 / printed 113	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
John	John	personal-name element	PDF 135 / printed 123	Latin	Yes	needs-review	Preserve in eponym
Nirenberg	Nirenberg	personal-name element	PDF 135 / printed 123	Latin	Yes	needs-review	Preserve in eponym
F. John	F. John	person	PDF 138 / printed 126	Latin	Yes	needs-review	Initial and spacing preserved
L. Nirenberg	L. Nirenberg	person	PDF 138 / printed 126	Latin	Yes	needs-review	Initial and spacing preserved
S. Spanne	S. Spanne	person	PDF 138 / printed 126	Latin	Yes	needs-review	Initial and spacing preserved
J. Peetre	J. Peetre	person	PDF 138 / printed 126	Latin	Yes	needs-review	Initial and spacing preserved
D. Burkholder	D. Burkholder	person	PDF 139 / printed 127	Latin	Yes	needs-review	Initial and spacing preserved
R. Gundy	R. Gundy	person	PDF 139 / printed 127	Latin	Yes	needs-review	Initial and spacing preserved
M. Silverstein	M. Silverstein	person	PDF 139 / printed 127	Latin	Yes	needs-review	Initial and spacing preserved
P. Koosis	P. Koosis	person	PDF 139 / printed 127	Latin	Yes	needs-review	Initial and spacing preserved
R. Coifman	R. Coifman	person	PDF 140 / printed 128	Latin	Yes	needs-review	Initial and spacing preserved
R. Latter	R. Latter	person	PDF 140 / printed 128	Latin	Yes	needs-review	Initial and spacing preserved
A. Uchiyama	A. Uchiyama	person	PDF 140 / printed 128	Latin	Yes	needs-review	Initial and spacing preserved
Shanzhen Lu	Shanzhen Lu	person	PDF 140 / printed 128	Latin	Yes	needs-review	Spacing and name order preserved
Lusin	Lusin	personal-name element	PDF 140 / printed 128	Latin	Yes	needs-review	Preserve in eponym
P. Duren	P. Duren	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
B. Romberg	B. Romberg	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
A. Shields	A. Shields	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
T. Walsh	T. Walsh	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
R. A. DeVore	R. A. DeVore	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initials and spacing preserved
F. Chiarenza	F. Chiarenza	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
M. Frasca	M. Frasca	person	PDF 141 / printed 129	Latin	Yes	needs-review	Initial and spacing preserved
S. Krantz	S. Krantz	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initial and spacing preserved
A. Cianchi	A. Cianchi	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initial and spacing preserved
L. Pick	L. Pick	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initial and spacing preserved
N. S. Trudinger	N. S. Trudinger	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initials and spacing preserved
R. S. Strichartz	R. S. Strichartz	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initials and spacing preserved
J. Moser	J. Moser	person	PDF 142 / printed 130	Latin	Yes	needs-review	Initial and spacing preserved
D. Sarason	D. Sarason	person	PDF 143 / printed 131	Latin	Yes	needs-review	Initial and spacing preserved
R. Rochberg	R. Rochberg	person	PDF 143 / printed 131	Latin	Yes	needs-review	Initial and spacing preserved
S. Janson	S. Janson	person	PDF 144 / printed 132	Latin	Yes	needs-review	Initial and spacing preserved
J. O. Strömberg	J. O. Strömberg	person	PDF 144 / printed 132	Latin with accent	Yes	needs-review	Initials, spacing, and accent preserved
C. Pérez	C. Pérez	person	PDF 144 / printed 132	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
M. Rosenblum	M. Rosenblum	person	PDF 159 / printed 147	Latin	Yes	needs-review	Initial and spacing preserved
H. Helson	H. Helson	person	PDF 160 / printed 148	Latin	Yes	needs-review	Initial and spacing preserved
G. Szegő	G. Szegő	person	PDF 160 / printed 148	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
F. W. Gehring	F. W. Gehring	person	PDF 160 / printed 148	Latin	Yes	needs-review	Initials and spacing preserved
J. García-Cuerva	J. García-Cuerva	person	PDF 160 / printed 148	Latin with accent	Yes	needs-review	Initial, spacing, hyphen, and accent preserved
E. M. Dynkin	E. M. Dynkin	person	PDF 160 / printed 148	Latin	Yes	needs-review	Initials and spacing preserved
B. P. Osilenker	B. P. Osilenker	person	PDF 160 / printed 148	Latin	Yes	needs-review	Initials and spacing preserved
P. Jones	P. Jones	person	PDF 161 / printed 149	Latin	Yes	needs-review	Initial and spacing preserved
J. Garnett	J. Garnett	person	PDF 161 / printed 149	Latin	Yes	needs-review	Initial and spacing preserved
C. Sadosky	C. Sadosky	person	PDF 161 / printed 149	Latin	Yes	needs-review	Initial and spacing preserved
S. V. Hruscev	S. V. Hruscev	person	PDF 162 / printed 150	Latin	Yes	needs-review	Initials and spacing preserved
R. Bagby	R. Bagby	person	PDF 164 / printed 152	Latin	Yes	needs-review	Initial and spacing preserved
D. Kurtz	D. Kurtz	person	PDF 164 / printed 152	Latin	Yes	needs-review	Initial and spacing preserved
J. Alvarez	J. Alvarez	person	PDF 164 / printed 152	Latin	Yes	needs-review	Source form preserved without adding an accent
C. Perez	C. Perez	person	PDF 164 / printed 152	Latin	Yes	needs-review	Source form preserved without adding an accent
B. Jawerth	B. Jawerth	person	PDF 165 / printed 153	Latin	Yes	needs-review	Initial and spacing preserved
A. Torchinsky	A. Torchinsky	person	PDF 166 / printed 154	Latin	Yes	needs-review	Initial and spacing preserved
E. Sawyer	E. Sawyer	person	PDF 167 / printed 155	Latin	Yes	needs-review	Initial and spacing preserved
J. M. Wilson	J. M. Wilson	person	PDF 168 / printed 156	Latin	Yes	needs-review	Initials and spacing preserved
R. A. E. C. Paley	R. A. E. C. Paley	person	PDF 196 / printed 184	Latin	Yes	needs-review	Initials and spacing preserved
A. P. Calderon	A. P. Calderon	person	PDF 197 / printed 185	Latin	Yes	needs-review	Source form preserved without adding an accent
H. Triebel	H. Triebel	person	PDF 197 / printed 185	Latin	Yes	needs-review	Initial and spacing preserved
M. Frazier	M. Frazier	person	PDF 197 / printed 185	Latin	Yes	needs-review	Initial and spacing preserved
S. Sato	S. Sato	person	PDF 198 / printed 186	Latin	Yes	needs-review	Initial and spacing preserved
S. Semmes	S. Semmes	person	PDF 198 / printed 186	Latin	Yes	needs-review	Initial and spacing preserved
J. L. Journé	J. L. Journé	person	PDF 198 / printed 186	Latin with accent	Yes	needs-review	Initials, spacing, and accent preserved
H. Lin	H. Lin	person	PDF 198 / printed 186	Latin	Yes	needs-review	Initial and spacing preserved
C. S. Herz	C. S. Herz	person	PDF 199 / printed 187	Latin	Yes	needs-review	Initials and spacing preserved
A. Carbery	A. Carbery	person	PDF 200 / printed 188	Latin	Yes	needs-review	Initial and spacing preserved
K. M. Davis	K. M. Davis	person	PDF 200 / printed 188	Latin	Yes	needs-review	Initials and spacing preserved
Y. C. Chang	Y. C. Chang	person	PDF 200 / printed 188	Latin	Yes	needs-review	Initials and spacing preserved
L. Vega	L. Vega	person	PDF 200 / printed 188	Latin	Yes	needs-review	Initial and spacing preserved
P. Tomas	P. Tomas	person	PDF 201 / printed 189	Latin	Yes	needs-review	Initial and spacing preserved
T. Tao	T. Tao	person	PDF 202 / printed 190	Latin	Yes	needs-review	Initial and spacing preserved
X. Shi	X. Shi	person	PDF 202 / printed 190	Latin	Yes	needs-review	Initial and spacing preserved
Q. Sun	Q. Sun	person	PDF 202 / printed 190	Latin	Yes	needs-review	Initial and spacing preserved
K. Andersen	K. Andersen	person	PDF 202 / printed 190	Latin	Yes	needs-review	Initial and spacing preserved
C. Calderon	C. Calderon	person	PDF 203 / printed 191	Latin	Yes	needs-review	Source form preserved without adding an accent
G. I. Gaudry	G. I. Gaudry	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initials and spacing preserved
M. Cowling	M. Cowling	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initial and spacing preserved
G. Mauceri	G. Mauceri	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initial and spacing preserved
G. Mockenhaupt	G. Mockenhaupt	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initial and spacing preserved
C. Sogge	C. Sogge	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initial and spacing preserved
W. Schlag	W. Schlag	person	PDF 203 / printed 191	Latin	Yes	needs-review	Initial and spacing preserved
J. Namazi	J. Namazi	person	PDF 204 / printed 192	Latin	Yes	needs-review	Initial and spacing preserved
D. Watson	D. Watson	person	PDF 204 / printed 192	Latin	Yes	needs-review	Initial and spacing preserved
J. Vance	J. Vance	person	PDF 205 / printed 193	Latin	Yes	needs-review	Initial and spacing preserved
D. Weinberg	D. Weinberg	person	PDF 205 / printed 193	Latin	Yes	needs-review	Initial and spacing preserved
H. Carlsson	H. Carlsson	person	PDF 205 / printed 193	Latin	Yes	needs-review	Initial and spacing preserved
J. Wright	J. Wright	person	PDF 205 / printed 193	Latin	Yes	needs-review	Initial and spacing preserved
S. Ziesler	S. Ziesler	person	PDF 205 / printed 193	Latin	Yes	needs-review	Initial and spacing preserved
Van der Corput	Van der Corput	personal-name element	PDF 194 / printed 182	Latin	Yes	needs-review	Capitalization and spaces preserved in eponym
A. Knapp	A. Knapp	person	PDF 224 / printed 212	Latin	Yes	needs-review	Initial and spacing preserved
G. David	G. David	person	PDF 224 / printed 212	Latin	Yes	needs-review	Initial and spacing preserved
Y. Meyer	Y. Meyer	person	PDF 224 / printed 212	Latin	Yes	needs-review	Initial and spacing preserved
J.-L. Journé	J.-L. Journé	person	PDF 224 / printed 212	Latin with accent	Yes	needs-review	Initials, hyphen, spacing, and accent preserved
J. Chao	J. Chao	person	PDF 224 / printed 212	Latin	Yes	needs-review	Initial and spacing preserved
W. Woyczyński	W. Woyczyński	person	PDF 224 / printed 212	Latin with accent	Yes	needs-review	Initial, spacing, and accent preserved
