Timestamp UTC	Action	Book ID	English	Domain	Context	Previous Status	New Status	Source Location	Commit	Notes
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	dyadic cube	harmonic analysis	cube in the dyadic family defined in the sample	needs-review	needs-review	PDF 45 / printed 33	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	conditional expectation	measure theory	conditional expectation with respect to the generated sigma algebra	needs-review	needs-review	PDF 45 / printed 33	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Calderón--Zygmund decomposition	harmonic analysis	decomposition in Theorem 2.11	needs-review	needs-review	PDF 46 / printed 34	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Lebesgue differentiation theorem	real analysis	pointwise differentiation result in Corollary 2.13	needs-review	needs-review	PDF 48 / printed 36	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Lebesgue point	real analysis	point satisfying the displayed mean-oscillation limit	needs-review	needs-review	PDF 48 / printed 36	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	weighted norm inequality	harmonic analysis	weighted estimate for the maximal operator	needs-review	needs-review	PDF 49 / printed 37	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	A_1 weight	harmonic analysis	weight satisfying M w <= C w almost everywhere	needs-review	needs-review	PDF 50 / printed 38	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Hardy operator	analysis	one-dimensional averaging operator in §8.2	needs-review	needs-review	PDF 51 / printed 39	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	decreasing rearrangement	analysis	rearrangement mentioned in §8.2	needs-review	needs-review	PDF 51 / printed 39	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Fourier coefficient	harmonic analysis	coefficient defined by integration against an exponential	needs-review	needs-review	PDF 14 / printed 2	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Fourier series	harmonic analysis	series formed from the Fourier coefficients	needs-review	needs-review	PDF 14 / printed 2	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Dirichlet kernel	harmonic analysis	kernel representing symmetric Fourier partial sums	needs-review	needs-review	PDF 15 / printed 3	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Dini criterion	harmonic analysis	local sufficient condition for pointwise Fourier convergence	needs-review	needs-review	PDF 16 / printed 4	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Jordan criterion	harmonic analysis	bounded-variation sufficient condition for pointwise Fourier convergence	needs-review	needs-review	PDF 16 / printed 4	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	bounded variation	real analysis	finite total variation on an interval	needs-review	needs-review	PDF 16 / printed 4	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Riemann localization principle	harmonic analysis	local dependence of Fourier-series convergence	needs-review	needs-review	PDF 16 / printed 4	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Riemann--Lebesgue lemma	harmonic analysis	decay of Fourier coefficients or transforms	needs-review	needs-review	PDF 15 / printed 3	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	uniform boundedness principle	functional analysis	Banach--Steinhaus principle used for Fourier partial sums	needs-review	needs-review	PDF 19 / printed 7	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Lebesgue number	harmonic analysis	L1 norm of the Dirichlet kernel	needs-review	needs-review	PDF 18 / printed 6	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	summability	harmonic analysis	convergence produced by an averaging method	needs-review	needs-review	PDF 22 / printed 10	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Fejér kernel	harmonic analysis	kernel for Cesàro means of Fourier series	needs-review	needs-review	PDF 22 / printed 10	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Poisson kernel	harmonic analysis	kernel for Abel--Poisson summability and harmonic extension	needs-review	needs-review	PDF 23 / printed 11	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Fourier transform	harmonic analysis	Euclidean Fourier transform with the project normalization	needs-review	needs-review	PDF 24 / printed 12	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Schwartz class	functional analysis	rapidly decreasing smooth functions	needs-review	needs-review	PDF 25 / printed 13	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	tempered distribution	distribution theory	continuous linear functional on the Schwartz class	needs-review	needs-review	PDF 27 / printed 15	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Fourier inversion formula	harmonic analysis	formula recovering a function from its Fourier transform	needs-review	needs-review	PDF 25 / printed 13	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Plancherel theorem	harmonic analysis	L2 isometry and extension of the Fourier transform	needs-review	needs-review	PDF 28 / printed 16	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Riesz--Thorin interpolation theorem	operator theory	interpolation between two strong-type bounds	needs-review	needs-review	PDF 29 / printed 17	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Hausdorff--Young inequality	harmonic analysis	Lp to Lq Fourier-transform estimate	needs-review	needs-review	PDF 29 / printed 17	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Young convolution inequality	harmonic analysis	Lp convolution estimate	needs-review	needs-review	PDF 29 / printed 17	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Gibbs phenomenon	harmonic analysis	overshoot near a jump discontinuity of Fourier partial sums	needs-review	needs-review	PDF 33 / printed 21	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Hermite function	harmonic analysis	eigenfunction of the Fourier transform built from Hermite polynomials	needs-review	needs-review	PDF 34 / printed 22	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	positive definite	harmonic analysis	matrix positivity condition for values of a function on differences	needs-review	needs-review	PDF 35 / printed 23	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	one-sided maximal function	harmonic analysis	Hardy--Littlewood maximal function using one-sided intervals	needs-review	needs-review	PDF 52 / printed 40	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	rising sun lemma	real analysis	F. Riesz covering argument for the one-sided maximal function	needs-review	needs-review	PDF 52 / printed 40	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Lorentz space	functional analysis	function space defined through decreasing rearrangement	needs-review	needs-review	PDF 53 / printed 41	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Luxemburg norm	functional analysis	norm used for L log L and Orlicz spaces	needs-review	needs-review	PDF 54 / printed 42	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Orlicz space	functional analysis	Banach function space defined by a convex increasing function	needs-review	needs-review	PDF 54 / printed 42	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	covering lemma	real analysis	selection result for families of balls or cubes	needs-review	needs-review	PDF 56 / printed 44	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	doubling condition	measure theory	measure condition mu(2B) <= C mu(B)	needs-review	needs-review	PDF 56 / printed 44	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	non-tangential approach	harmonic analysis	approach to a boundary point inside a cone	needs-review	needs-review	PDF 57 / printed 45	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	strong maximal function	harmonic analysis	maximal function over axis-parallel rectangles	needs-review	needs-review	PDF 57 / printed 45	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Kakeya maximal function	harmonic analysis	maximal operator over eccentric rectangles	needs-review	needs-review	PDF 58 / printed 46	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	conjugate Poisson kernel	harmonic analysis	harmonic conjugate of the Poisson kernel	needs-review	needs-review	PDF 61 / printed 49	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	principal value	distribution theory	principal-value tempered distribution	needs-review	needs-review	PDF 62 / printed 50	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Hilbert transform	harmonic analysis	singular integral operator with multiplier minus i sign xi	needs-review	needs-review	PDF 61 / printed 49	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	truncated Hilbert transform	harmonic analysis	truncated principal-value singular integral	needs-review	needs-review	PDF 67 / printed 55	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	maximal Hilbert transform	harmonic analysis	supremum of truncated Hilbert transforms	needs-review	needs-review	PDF 68 / printed 56	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	multiplier	harmonic analysis	Fourier-side symbol of a bounded operator	needs-review	needs-review	PDF 70 / printed 58	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	bounded variation	real analysis	finite total variation on the real line	needs-review	needs-review	PDF 71 / printed 59	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	conjugation operator	Fourier analysis	circle analogue of the Hilbert transform	needs-review	needs-review	PDF 74 / printed 62	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	translation invariant operator	functional analysis	operator commuting with every translation	needs-review	needs-review	PDF 78 / printed 66	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	singular integral	harmonic analysis	principal-value convolution operator with a homogeneous kernel	needs-review	needs-review	PDF 81 / printed 69	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	homogeneous distribution	distribution theory	distribution satisfying the stated dilation law	needs-review	needs-review	PDF 83 / printed 71	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	method of rotations	harmonic analysis	method averaging one-dimensional directional operators over the sphere	needs-review	needs-review	PDF 85 / printed 73	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	directional Hilbert transform	harmonic analysis	Hilbert transform along a fixed direction	needs-review	needs-review	PDF 86 / printed 74	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	rough maximal function	harmonic analysis	maximal operator with an integrable angular factor	needs-review	needs-review	PDF 86 / printed 74	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Riesz transform	harmonic analysis	singular integral with multiplier minus i xi_j over absolute xi	needs-review	needs-review	PDF 88 / printed 76	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	pseudo-differential operator	operator theory	operator defined by a symbol depending on position and frequency	needs-review	needs-review	PDF 97 / printed 85	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	spherical harmonic	harmonic analysis	restriction of a homogeneous harmonic polynomial to the sphere	needs-review	needs-review	PDF 97 / printed 85	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	fractional integral	harmonic analysis	Riesz-potential operator with multiplier absolute xi to the minus a	needs-review	needs-review	PDF 100 / printed 88	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Riesz potential	potential theory	alternative name for the fractional integral operator	needs-review	needs-review	PDF 100 / printed 88	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	fractional maximal function	harmonic analysis	maximal operator with fractional volume normalization	needs-review	needs-review	PDF 101 / printed 89	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Sobolev space	functional analysis	function space controlled by weak derivatives through a fixed order	needs-review	needs-review	PDF 102 / printed 90	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Sobolev embedding theorem	functional analysis	embedding of Sobolev spaces into Lebesgue or continuous-function spaces	needs-review	needs-review	PDF 102 / printed 90	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Hörmander condition	harmonic analysis	integral smoothness condition on a singular kernel	needs-review	needs-review	PDF 103 / printed 91	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	gradient condition	harmonic analysis	pointwise derivative estimate implying the Hörmander condition	needs-review	needs-review	PDF 103 / printed 91	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Dini-type condition	harmonic analysis	integrability condition on an angular modulus of continuity	needs-review	needs-review	PDF 105 / printed 93	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	standard kernel	harmonic analysis	size and Hölder-regularity kernel used for generalized Calderón--Zygmund operators	needs-review	needs-review	PDF 111 / printed 99	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	generalized Calderón--Zygmund operator	harmonic analysis	L2-bounded operator represented away from the diagonal by a standard kernel	needs-review	needs-review	PDF 112 / printed 100	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	Calderón--Zygmund singular integral	harmonic analysis	Calderón--Zygmund operator equal to its principal-value truncation limit	needs-review	needs-review	PDF 114 / printed 102	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	vector-valued singular integral	harmonic analysis	singular integral acting on functions with values in a Banach space	needs-review	needs-review	PDF 117 / printed 105	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	anisotropic dilation	harmonic analysis	dilation with coordinate-dependent exponents	needs-review	needs-review	PDF 120 / printed 108	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	space of homogeneous type	harmonic analysis	quasi-metric measure space with a doubling measure	needs-review	needs-review	PDF 121 / printed 109	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	strongly singular integral	harmonic analysis	oscillatory singular integral whose kernel need not satisfy the Hörmander condition	needs-review	needs-review	PDF 124 / printed 112	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	symbol class	pseudo-differential operators	class defined by differential size estimates for a pseudo-differential symbol	needs-review	needs-review	PDF 125 / printed 113	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	atom	harmonic analysis	basic compactly supported mean-zero building block for atomic Hardy space	needs-review	needs-review	PDF 127 / printed 115	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	atomic H^1 space	harmonic analysis	Hardy space defined through absolutely summable atomic decompositions	needs-review	needs-review	PDF 128 / printed 116	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	bounded mean oscillation	harmonic analysis	boundedness of mean oscillation over all cubes	needs-review	needs-review	PDF 129 / printed 117	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	sharp maximal function	harmonic analysis	supremum of local mean oscillations over cubes containing the point	needs-review	needs-review	PDF 129 / printed 117	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	good-lambda inequality	harmonic analysis	distributional comparison used to control a maximal function by a sharp maximal function	needs-review	needs-review	PDF 133 / printed 121	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	John--Nirenberg inequality	harmonic analysis	exponential distribution estimate for BMO oscillation	needs-review	needs-review	PDF 135 / printed 123	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	grand maximal function	Hardy spaces	supremum of non-tangential maximal functions over an admissible test-function family	needs-review	needs-review	PDF 139 / printed 127	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	area integral	Hardy spaces	conical square function built from the gradient of a harmonic function	needs-review	needs-review	PDF 140 / printed 128	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	vanishing mean oscillation	harmonic analysis	BMO oscillation tending to zero at small and large cube scales	needs-review	needs-review	PDF 143 / printed 131	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	commutator	operator theory	operator difference $M_bT-TM_b$	needs-review	needs-review	PDF 143 / printed 131	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	A_p condition	harmonic analysis	weight condition characterizing maximal-operator estimates	needs-review	needs-review	PDF 145 / printed 133	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	reverse Hölder inequality	harmonic analysis	self-improving integrability estimate for $A_p$ weights	needs-review	needs-review	PDF 149 / printed 137	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	A_infinity condition	harmonic analysis	quantitative absolute-continuity condition for weights	needs-review	needs-review	PDF 151 / printed 139	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	extrapolation theorem	harmonic analysis	transfer of weighted boundedness from one exponent to all admissible exponents	needs-review	needs-review	PDF 153 / printed 141	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	factorization theorem	harmonic analysis	representation of an $A_p$ weight by two $A_1$ weights	needs-review	needs-review	PDF 162 / printed 150	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
2026-08-10T04:42:13+00:00	initial-import	fourier-analysis	reverse Jensen inequality	harmonic analysis	exponential-average characterization associated with $A_\infty$	needs-review	needs-review	PDF 162 / printed 150	943e53f63453d4ff93ab94ec98b3edf05ca8745f	Imported from the completed first-book terminology control file without approval changes.
