Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
\eqref{eq:chap3-regularized-distance-fixed-point}	eq:chap3-regularized-distance-fixed-point	eq:chap3-regularized-distance-fixed-point	tex/chapters/ch03-sec03.tex:198	resolved	Uses eqref
\eqref{eq:chap3-distance-equivalence}	eq:chap3-distance-equivalence	eq:chap3-distance-equivalence	tex/chapters/ch03-sec03.tex:222,280	resolved	Uses eqref
\ref{thm:chap3-normal-trace-lifting}	thm:chap3-normal-trace-lifting	thm:chap3-normal-trace-lifting	tex/chapters/ch03-sec03.tex:275	resolved	Uses ref
\ref{thm:chap3-trace-lifting-operator}	thm:chap3-trace-lifting-operator	thm:chap3-trace-lifting-operator	tex/chapters/ch03-sec03.tex:280	resolved	Uses ref
\eqref{eq:chap3-normal-lifting-derivative}	eq:chap3-normal-lifting-derivative	eq:chap3-normal-lifting-derivative	tex/chapters/ch03-sec03.tex:307	resolved	Uses eqref
\ref{prop:chap3-regularized-distance-properties}	prop:chap3-regularized-distance-properties	prop:chap3-regularized-distance-properties	tex/chapters/ch03-sec03.tex:318,527	resolved	Uses ref
\eqref{eq:chap3-distance-along-flow}	eq:chap3-distance-along-flow	eq:chap3-distance-along-flow	tex/chapters/ch03-sec03.tex:354,361,380,385	resolved	Uses eqref
\eqref{eq:chap3-flow-high-derivative-log}	eq:chap3-flow-high-derivative-log	eq:chap3-flow-high-derivative-log	tex/chapters/ch03-sec03.tex:366	resolved	Uses eqref
\eqref{eq:chap3-flow-high-derivative-normal}	eq:chap3-flow-high-derivative-normal	eq:chap3-flow-high-derivative-normal	tex/chapters/ch03-sec03.tex:366	resolved	Uses eqref
\eqref{eq:chap3-flow-second-derivative-equation}	eq:chap3-flow-second-derivative-equation	eq:chap3-flow-second-derivative-equation	tex/chapters/ch03-sec03.tex:366	resolved	Uses eqref
\ref{prop:chap3-normal-flow-regularity}	prop:chap3-normal-flow-regularity	prop:chap3-normal-flow-regularity	tex/chapters/ch03-sec03.tex:380,435,917	resolved	Uses ref
\ref{prop:chap3-level-surface-jacobian}	prop:chap3-level-surface-jacobian	prop:chap3-level-surface-jacobian	tex/chapters/ch03-sec03.tex:420,960	resolved	Uses ref
\ref{prop:chap3-boundary-strip-change-variables}	prop:chap3-boundary-strip-change-variables	prop:chap3-boundary-strip-change-variables	tex/chapters/ch03-sec03.tex:469,950	resolved	Uses ref
\eqref{eq:chap3-normalized-normal-flow}	eq:chap3-normalized-normal-flow	eq:chap3-normalized-normal-flow	tex/chapters/ch03-sec03.tex:573	resolved	Uses eqref
\eqref{eq:chap3-tangential-flow-gradient}	eq:chap3-tangential-flow-gradient	eq:chap3-tangential-flow-gradient	tex/chapters/ch03-sec03.tex:610,737	resolved	Uses eqref
\eqref{eq:chap3-tangential-flow-jacobian}	eq:chap3-tangential-flow-jacobian	eq:chap3-tangential-flow-jacobian	tex/chapters/ch03-sec03.tex:610,724	resolved	Uses eqref
\eqref{eq:chap3-tangential-flow-weighted-jacobian}	eq:chap3-tangential-flow-weighted-jacobian	eq:chap3-tangential-flow-weighted-jacobian	tex/chapters/ch03-sec03.tex:628,639,716,737	resolved	Uses eqref
\eqref{eq:chap3-tangential-flow-distance-lower-bound}	eq:chap3-tangential-flow-distance-lower-bound	eq:chap3-tangential-flow-distance-lower-bound	tex/chapters/ch03-sec03.tex:634	resolved	Uses eqref
\eqref{eq:chap3-curved-translation-uniform-bound}	eq:chap3-curved-translation-uniform-bound	eq:chap3-curved-translation-uniform-bound	tex/chapters/ch03-sec03.tex:709,724,834	resolved	Uses eqref
\ref{prop:chap3-tangential-flow-estimates}	prop:chap3-tangential-flow-estimates	prop:chap3-tangential-flow-estimates	tex/chapters/ch03-sec03.tex:709	resolved	Uses ref
\eqref{eq:chap3-curved-translation-convergence}	eq:chap3-curved-translation-convergence	eq:chap3-curved-translation-convergence	tex/chapters/ch03-sec03.tex:716,808	resolved	Uses eqref
\ref{cor:chap3-hardy-multiplier}	cor:chap3-hardy-multiplier	cor:chap3-hardy-multiplier	tex/chapters/ch03-sec03.tex:716	resolved	Uses ref
\eqref{eq:chap3-curved-translation-duality-volume}	eq:chap3-curved-translation-duality-volume	eq:chap3-curved-translation-duality-volume	tex/chapters/ch03-sec03.tex:724	resolved	Uses eqref
\eqref{eq:chap3-curved-translation-gradient-commutator}	eq:chap3-curved-translation-gradient-commutator	eq:chap3-curved-translation-gradient-commutator	tex/chapters/ch03-sec03.tex:726,757	resolved	Uses eqref
\ref{prop:chap3-hardy-boundary-distance}	prop:chap3-hardy-boundary-distance	prop:chap3-hardy-boundary-distance	tex/chapters/ch03-sec03.tex:737	resolved	Uses ref
\eqref{eq:chap3-curved-translation-seminorm-bound}	eq:chap3-curved-translation-seminorm-bound	eq:chap3-curved-translation-seminorm-bound	tex/chapters/ch03-sec03.tex:757	resolved	Uses eqref
\eqref{eq:chap3-admissible-tangential-field}	eq:chap3-admissible-tangential-field	eq:chap3-admissible-tangential-field	tex/chapters/ch03-sec03.tex:766,771,773,796,814	resolved	Uses eqref
\ref{prop:chap3-local-sobolev-characterization}	prop:chap3-local-sobolev-characterization	prop:chap3-local-sobolev-characterization	tex/chapters/ch03-sec03.tex:773	resolved	Uses ref
\eqref{eq:chap3-local-flow-is-translation}	eq:chap3-local-flow-is-translation	eq:chap3-local-flow-is-translation	tex/chapters/ch03-sec03.tex:783	resolved	Uses eqref
\ref{prop:chap3-sobolev-difference-quotient-characterization}	prop:chap3-sobolev-difference-quotient-characterization	prop:chap3-sobolev-difference-quotient-characterization	tex/chapters/ch03-sec03.tex:794	resolved	Uses ref
\eqref{eq:chap3-curved-translation-fundamental-theorem}	eq:chap3-curved-translation-fundamental-theorem	eq:chap3-curved-translation-fundamental-theorem	tex/chapters/ch03-sec03.tex:802,834	resolved	Uses eqref
\ref{lem:chap3-tangential-field-normal-component}	lem:chap3-tangential-field-normal-component	lem:chap3-tangential-field-normal-component	tex/chapters/ch03-sec03.tex:827,834	resolved	Uses ref
\ref{def:chap3-weighted-tangential-sobolev}	def:chap3-weighted-tangential-sobolev	def:chap3-weighted-tangential-sobolev	tex/chapters/ch03-sec03.tex:834	resolved	Uses ref
\ref{prop:chap3-tangent-vector-metric}	prop:chap3-tangent-vector-metric	prop:chap3-tangent-vector-metric	tex/chapters/ch03-sec03.tex:845	resolved	Uses ref
\eqref{eq:chap3-surface-divergence-local}	eq:chap3-surface-divergence-local	eq:chap3-surface-divergence-local	tex/chapters/ch03-sec03.tex:884	resolved	Uses eqref
\eqref{eq:chap3-tangential-divergence-tangential-part}	eq:chap3-tangential-divergence-tangential-part	eq:chap3-tangential-divergence-tangential-part	tex/chapters/ch03-sec03.tex:913	resolved	Uses eqref
\eqref{eq:chap3-tangential-divergence-trace}	eq:chap3-tangential-divergence-trace	eq:chap3-tangential-divergence-trace	tex/chapters/ch03-sec03.tex:913	resolved	Uses eqref
\eqref{eq:chap3-normal-derivative-parametrized}	eq:chap3-normal-derivative-parametrized	eq:chap3-normal-derivative-parametrized	tex/chapters/ch03-sec03.tex:960	resolved	Uses eqref
\ref{prop:chap3-tangential-divergence-decomposition}	prop:chap3-tangential-divergence-decomposition	prop:chap3-tangential-divergence-decomposition	tex/chapters/ch03-sec03.tex:974	resolved	Uses ref
\ref{prop:chap3-divergence-normal-tangential}	prop:chap3-divergence-normal-tangential	prop:chap3-divergence-normal-tangential	tex/chapters/ch03-sec03.tex:992	resolved	Uses ref
