PDF Page	Source Scope	Translation Target	Coverage	Verification
80	Proposition II.2.36 and proof; Section 2.4; Lemma II.2.37 begins	tex/chapters/ch02-sec02.tex: prop:chap2-local-to-global-lp-convergence through lem:chap2-cutoff-function	covered	Local-to-global proof restored; printed exponent and Omega_k anomaly preserved and logged
81	Lemma II.2.37 proof; Lemma II.2.38 statement and proof begins	tex/chapters/ch02-sec02.tex: lem:chap2-cutoff-function through lem:chap2-partition-of-unity	covered	Cutoff construction and rational-centre construction restored; source issue logged
82	Lemma II.2.38 proof and equation (II.10)	tex/chapters/ch02-sec02.tex: eq:chap2-alpha-partition	covered	All partial-sum and local-finiteness steps restored; source index anomaly logged
83	Lemma II.2.38 proof ends; Section 2.5; Definitions II.2.39-II.2.41 begin	tex/chapters/ch02-sec02.tex: lem:chap2-partition-of-unity through def:chap2-distribution-derivative	covered	Grouping formulas and sequential topology restored; beta/psi anomaly logged
84	Definition II.2.41 ends; Proposition II.2.42 and proof begins	tex/chapters/ch02-sec02.tex: def:chap2-distribution-derivative through prop:chap2-functions-embed-distributions	covered	Injection proof pairings and zero extension restored
85	Proposition II.2.42 proof ends; function/distribution identification; derivative identity; Proposition II.2.43; Lemma II.2.44 begins	tex/chapters/ch02-sec02.tex: prop:chap2-functions-embed-distributions through lem:chap2-zero-gradient-distribution-constant	covered	All identification conventions and derivative formula restored
86	Lemma II.2.44 cube-case proof	tex/chapters/ch02-sec02.tex: lem:chap2-zero-gradient-distribution-constant	covered	Definitions of m_i, Phi_1, Phi_2, induction, and printed dx_n retained; source issue logged
87	Lemma II.2.44 general-domain proof ends; Section 2.6; Proposition II.2.45	tex/chapters/ch02-sec02.tex: lem:chap2-zero-gradient-distribution-constant through prop:chap2-mcshane-whitney-extension	covered	Partition-of-unity argument and Lipschitz-section introduction restored
88	Proposition II.2.45 proof; Theorem II.2.46; Proposition II.2.47 and proof begins	tex/chapters/ch02-sec02.tex: prop:chap2-mcshane-whitney-extension through prop:chap2-mollification-lipschitz	covered	Literature reference, three claims, and first two calculations restored
89	Proposition II.2.47 proof ends; stop before Section 3	tex/chapters/ch02-sec02.tex: prop:chap2-mollification-lipschitz	covered	Derivative formula, integration-by-parts identities, and dominated-convergence estimate restored
