Source Reference	Target Object	LaTeX Key	Translation Location	Status	Notes
\eqref{eq:chap3-commutator-zero-order-bound}	eq:chap3-commutator-zero-order-bound	eq:chap3-commutator-zero-order-bound	tex/chapters/ch03-sec02.tex:424	resolved	Uses eqref
\eqref{eq:chap3-commutator-derivative-limit}	eq:chap3-commutator-derivative-limit	eq:chap3-commutator-derivative-limit	tex/chapters/ch03-sec02.tex:430	resolved	Uses eqref
\eqref{eq:chap3-commutator-zero-order-limit}	eq:chap3-commutator-zero-order-limit	eq:chap3-commutator-zero-order-limit	tex/chapters/ch03-sec02.tex:430	resolved	Uses eqref
\eqref{eq:chap3-commutator-uniform-bound}	eq:chap3-commutator-uniform-bound	eq:chap3-commutator-uniform-bound	tex/chapters/ch03-sec02.tex:432,442	resolved	Uses eqref
\ref{thm:chap3-smooth-density-sobolev}	thm:chap3-smooth-density-sobolev	thm:chap3-smooth-density-sobolev	tex/chapters/ch03-sec02.tex:451,731	resolved	Uses ref
\eqref{eq:chap3-zero-extension-operator-identity}	eq:chap3-zero-extension-operator-identity	eq:chap3-zero-extension-operator-identity	tex/chapters/ch03-sec02.tex:470,478	resolved	Uses eqref
\ref{prop:chap2-lipschitz-change-variables}	prop:chap2-lipschitz-change-variables	prop:chap2-lipschitz-change-variables	tex/chapters/ch03-sec02.tex:514	resolved	Uses ref
\eqref{eq:chap3-extension-continuity}	eq:chap3-extension-continuity	eq:chap3-extension-continuity	tex/chapters/ch03-sec02.tex:535,549,617,630,634	resolved	Uses eqref
\eqref{eq:chap3-extension-identity}	eq:chap3-extension-identity	eq:chap3-extension-identity	tex/chapters/ch03-sec02.tex:535,553	resolved	Uses eqref
\eqref{eq:chap3-extension-zero-complement}	eq:chap3-extension-zero-complement	eq:chap3-extension-zero-complement	tex/chapters/ch03-sec02.tex:535,549,617,630,634,776,813	resolved	Uses eqref
\ref{rem:chap3-lifting-p-one}	rem:chap3-lifting-p-one	rem:chap3-lifting-p-one	tex/chapters/ch03-sec02.tex:535,746	resolved	Uses ref
[33]	bib:extension-p-one	bib:extension-p-one	tex/chapters/ch03-sec02.tex:535	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{prop:chap3-regularized-graph-properties}	prop:chap3-regularized-graph-properties	prop:chap3-regularized-graph-properties	tex/chapters/ch03-sec02.tex:613,621,683	resolved	Uses ref
\ref{prop:chap3-flat-half-space-extension}	prop:chap3-flat-half-space-extension	prop:chap3-flat-half-space-extension	tex/chapters/ch03-sec02.tex:621	resolved	Uses ref
\ref{thm:chap3-sobolev-change-of-variables}	thm:chap3-sobolev-change-of-variables	thm:chap3-sobolev-change-of-variables	tex/chapters/ch03-sec02.tex:621,689	resolved	Uses ref
\ref{prop:chap3-flat-trace-inequality}	prop:chap3-flat-trace-inequality	prop:chap3-flat-trace-inequality	tex/chapters/ch03-sec02.tex:683	resolved	Uses ref
\ref{thm:chap3-zero-trace-characterization}	thm:chap3-zero-trace-characterization	thm:chap3-zero-trace-characterization	tex/chapters/ch03-sec02.tex:717	resolved	Uses ref
\ref{thm:chap3-lipschitz-cone-property}	thm:chap3-lipschitz-cone-property	thm:chap3-lipschitz-cone-property	tex/chapters/ch03-sec02.tex:720,1477	resolved	Uses ref
\ref{prop:chap3-half-space-trace-inequality}	prop:chap3-half-space-trace-inequality	prop:chap3-half-space-trace-inequality	tex/chapters/ch03-sec02.tex:725	resolved	Uses ref
[33]	bib:intrinsic-trace-space	bib:intrinsic-trace-space	tex/chapters/ch03-sec02.tex:746	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{def:chap3-boundary-trace-space}	def:chap3-boundary-trace-space	def:chap3-boundary-trace-space	tex/chapters/ch03-sec02.tex:750	resolved	Uses ref
\ref{rem:chap3-extension-p-one}	rem:chap3-extension-p-one	rem:chap3-extension-p-one	tex/chapters/ch03-sec02.tex:795	resolved	Uses ref
[33]	bib:nonlinear-trace-lifting-p-one	bib:nonlinear-trace-lifting-p-one	tex/chapters/ch03-sec02.tex:795	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{subsec:chap3-regularized-distance}	subsec:chap3-regularized-distance	subsec:chap3-regularized-distance	tex/chapters/ch03-sec02.tex:819,830	resolved	Uses ref
\eqref{eq:chap3-negative-sobolev-norm}	eq:chap3-negative-sobolev-norm	eq:chap3-negative-sobolev-norm	tex/chapters/ch03-sec02.tex:884	resolved	Uses eqref
\eqref{eq:chap3-negative-sobolev-dual-norm}	eq:chap3-negative-sobolev-dual-norm	eq:chap3-negative-sobolev-dual-norm	tex/chapters/ch03-sec02.tex:915,999	resolved	Uses eqref
\ref{thm:chap3-trace-space-properties}	thm:chap3-trace-space-properties	thm:chap3-trace-space-properties	tex/chapters/ch03-sec02.tex:926	resolved	Uses ref
\ref{subsec:chap3-mollifiers-friedrichs}	subsec:chap3-mollifiers-friedrichs	subsec:chap3-mollifiers-friedrichs	tex/chapters/ch03-sec02.tex:944	resolved	Uses ref
IV	chap:fluid-mechanics-spaces	chap:fluid-mechanics-spaces	tex/chapters/ch03-sec02.tex:944,1374	deferred	Target unavailable or uncertain; no number or key was guessed
\eqref{eq:chap3-negative-sobolev-definition}	eq:chap3-negative-sobolev-definition	eq:chap3-negative-sobolev-definition	tex/chapters/ch03-sec02.tex:955	resolved	Uses eqref
\ref{rem:chap3-negative-sobolev-density}	rem:chap3-negative-sobolev-density	rem:chap3-negative-sobolev-density	tex/chapters/ch03-sec02.tex:1003	resolved	Uses ref
\ref{prop:chap3-negative-sobolev-mollification}	prop:chap3-negative-sobolev-mollification	prop:chap3-negative-sobolev-mollification	tex/chapters/ch03-sec02.tex:1005	resolved	Uses ref
\ref{subsec:chap3-tangential-sobolev-spaces}	subsec:chap3-tangential-sobolev-spaces	subsec:chap3-tangential-sobolev-spaces	tex/chapters/ch03-sec02.tex:1049	resolved	Uses ref
\ref{lem:chap3-translation-duality}	lem:chap3-translation-duality	lem:chap3-translation-duality	tex/chapters/ch03-sec02.tex:1074,1115	resolved	Uses ref
\ref{thm:chap3-interior-translation-estimate}	thm:chap3-interior-translation-estimate	thm:chap3-interior-translation-estimate	tex/chapters/ch03-sec02.tex:1074,1214	resolved	Uses ref
\ref{lem:chap3-translation-sobolev-bound}	lem:chap3-translation-sobolev-bound	lem:chap3-translation-sobolev-bound	tex/chapters/ch03-sec02.tex:1104	resolved	Uses ref
\eqref{eq:chap3-sobolev-holder-embedding}	eq:chap3-sobolev-holder-embedding	eq:chap3-sobolev-holder-embedding	tex/chapters/ch03-sec02.tex:1169	resolved	Uses eqref
\eqref{eq:chap3-sobolev-lq-embedding}	eq:chap3-sobolev-lq-embedding	eq:chap3-sobolev-lq-embedding	tex/chapters/ch03-sec02.tex:1169	resolved	Uses eqref
\ref{subsec:chap3-extension-operator}	subsec:chap3-extension-operator	subsec:chap3-extension-operator	tex/chapters/ch03-sec02.tex:1169	resolved	Uses ref
[27]	bib:sobolev-holder-proof	bib:sobolev-holder-proof	tex/chapters/ch03-sec02.tex:1169	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{prop:chap2-generalized-fubini}	prop:chap2-generalized-fubini	prop:chap2-generalized-fubini	tex/chapters/ch03-sec02.tex:1182	resolved	Uses ref
\eqref{eq:chap3-gagliardo-nirenberg-l1}	eq:chap3-gagliardo-nirenberg-l1	eq:chap3-gagliardo-nirenberg-l1	tex/chapters/ch03-sec02.tex:1188,1190	resolved	Uses eqref
\ref{thm:chap2-kolmogorov}	thm:chap2-kolmogorov	thm:chap2-kolmogorov	tex/chapters/ch03-sec02.tex:1208	resolved	Uses ref
\eqref{eq:chap3-supercritical-linfty-embedding}	eq:chap3-supercritical-linfty-embedding	eq:chap3-supercritical-linfty-embedding	tex/chapters/ch03-sec02.tex:1232	resolved	Uses eqref
\eqref{eq:chap3-scaled-sobolev-bound}	eq:chap3-scaled-sobolev-bound	eq:chap3-scaled-sobolev-bound	tex/chapters/ch03-sec02.tex:1267	resolved	Uses eqref
\ref{subsec:chap3-trace-lifting}	subsec:chap3-trace-lifting	subsec:chap3-trace-lifting	tex/chapters/ch03-sec02.tex:1296	resolved	Uses ref
\eqref{eq:chap3-boundary-interpolation-inequality}	eq:chap3-boundary-interpolation-inequality	eq:chap3-boundary-interpolation-inequality	tex/chapters/ch03-sec02.tex:1310,1313	resolved	Uses eqref
\ref{prop:chap2-strong-weak-bilinear}	prop:chap2-strong-weak-bilinear	prop:chap2-strong-weak-bilinear	tex/chapters/ch03-sec02.tex:1321	resolved	Uses ref
Proposition IV.1.7	prop:chap4-poincare-variant-one	prop:chap4-poincare-variant-one	tex/chapters/ch03-sec02.tex:1374	deferred	Target unavailable or uncertain; no number or key was guessed
Proposition IV.7.7	prop:chap4-poincare-variant-two	prop:chap4-poincare-variant-two	tex/chapters/ch03-sec02.tex:1374	deferred	Target unavailable or uncertain; no number or key was guessed
\ref{lem:chap2-zero-gradient-distribution-constant}	lem:chap2-zero-gradient-distribution-constant	lem:chap2-zero-gradient-distribution-constant	tex/chapters/ch03-sec02.tex:1398	resolved	Uses ref
\eqref{eq:chap3-boundary-part-positive-measure}	eq:chap3-boundary-part-positive-measure	eq:chap3-boundary-part-positive-measure	tex/chapters/ch03-sec02.tex:1403	resolved	Uses eqref
\eqref{eq:chap3-poincare-limit-normalization}	eq:chap3-poincare-limit-normalization	eq:chap3-poincare-limit-normalization	tex/chapters/ch03-sec02.tex:1403	resolved	Uses eqref
\ref{prop:chap3-generalized-poincare}	prop:chap3-generalized-poincare	prop:chap3-generalized-poincare	tex/chapters/ch03-sec02.tex:1417,1499	resolved	Uses ref
\ref{lem:chap2-hardy-one-dimensional}	lem:chap2-hardy-one-dimensional	lem:chap2-hardy-one-dimensional	tex/chapters/ch03-sec02.tex:1441	resolved	Uses ref
\eqref{eq:chap3-local-boundary-distance-identity}	eq:chap3-local-boundary-distance-identity	eq:chap3-local-boundary-distance-identity	tex/chapters/ch03-sec02.tex:1488	resolved	Uses eqref
\ref{prop:chap3-hardy-boundary-distance}	prop:chap3-hardy-boundary-distance	prop:chap3-hardy-boundary-distance	tex/chapters/ch03-sec02.tex:1516	resolved	Uses ref
\eqref{eq:chap3-first-order-divergence-operator}	eq:chap3-first-order-divergence-operator	eq:chap3-first-order-divergence-operator	tex/chapters/ch03-sec02.tex:1529	resolved	Uses eqref
\eqref{eq:chap3-sobolev-stokes-formula}	eq:chap3-sobolev-stokes-formula	eq:chap3-sobolev-stokes-formula	tex/chapters/ch03-sec02.tex:1570	resolved	Uses eqref
\eqref{eq:chap3-smooth-generalized-stokes}	eq:chap3-smooth-generalized-stokes	eq:chap3-smooth-generalized-stokes	tex/chapters/ch03-sec02.tex:1581,1611	resolved	Uses eqref
\eqref{eq:chap3-normal-trace-cauchy-bound}	eq:chap3-normal-trace-cauchy-bound	eq:chap3-normal-trace-cauchy-bound	tex/chapters/ch03-sec02.tex:1595	resolved	Uses eqref
\eqref{eq:chap3-generalized-normal-trace-definition}	eq:chap3-generalized-normal-trace-definition	eq:chap3-generalized-normal-trace-definition	tex/chapters/ch03-sec02.tex:1611	resolved	Uses eqref
\eqref{eq:chap3-generalized-stokes-formula}	eq:chap3-generalized-stokes-formula	eq:chap3-generalized-stokes-formula	tex/chapters/ch03-sec02.tex:1611,1634	resolved	Uses eqref
\ref{thm:chap3-adjoint-mollifier-commutator}	thm:chap3-adjoint-mollifier-commutator	thm:chap3-adjoint-mollifier-commutator	tex/chapters/ch03-sec02.tex:1641,1674	resolved	Uses ref
\eqref{eq:chap3-sobolev-intersection-graph-spaces}	eq:chap3-sobolev-intersection-graph-spaces	eq:chap3-sobolev-intersection-graph-spaces	tex/chapters/ch03-sec02.tex:1674,1682	resolved	Uses eqref
\eqref{eq:chap3-zero-sobolev-intersection-graph-spaces}	eq:chap3-zero-sobolev-intersection-graph-spaces	eq:chap3-zero-sobolev-intersection-graph-spaces	tex/chapters/ch03-sec02.tex:1674,1682	resolved	Uses eqref
\ref{thm:chap3-graph-space-zero-trace}	thm:chap3-graph-space-zero-trace	thm:chap3-graph-space-zero-trace	tex/chapters/ch03-sec02.tex:1674,1682	resolved	Uses ref
\eqref{eq:chap3-coordinate-normal-traces}	eq:chap3-coordinate-normal-traces	eq:chap3-coordinate-normal-traces	tex/chapters/ch03-sec02.tex:1676	resolved	Uses eqref
\eqref{eq:chap3-reconstruct-scalar-trace}	eq:chap3-reconstruct-scalar-trace	eq:chap3-reconstruct-scalar-trace	tex/chapters/ch03-sec02.tex:1676	resolved	Uses eqref
\ref{thm:chap3-generalized-normal-trace}	thm:chap3-generalized-normal-trace	thm:chap3-generalized-normal-trace	tex/chapters/ch03-sec02.tex:1676	resolved	Uses ref
