Record Kind	Original Reference	Target Type	Target Object	LaTeX Label	Command	Translation Location	Target Definition	Status
definition	§6	section	Weak (1,1) inequality	sec:ch2-weak-11-maximal-function	label	tex/chapters/sample.tex:433	tex/chapters/sample.tex:433	defined
definition	Lemma 2.12	lemma	Dyadic-to-cube maximal comparison	lem:ch2-dyadic-to-cube-maximal	label	tex/chapters/sample.tex:438	tex/chapters/sample.tex:438	defined
definition	Corollary 2.13	corollary	Lebesgue differentiation theorem	cor:ch2-lebesgue-differentiation	label	tex/chapters/sample.tex:472	tex/chapters/sample.tex:472	defined
definition	(2.10)	equation	Lebesgue-point limit	eq:ch2-lebesgue-point	label	tex/chapters/sample.tex:480	tex/chapters/sample.tex:480	defined
definition	Proposition 2.14	proposition	Maximal function is not L1	prop:ch2-maximal-not-l1	label	tex/chapters/sample.tex:498	tex/chapters/sample.tex:498	defined
definition	Theorem 2.15	theorem	Local L log L estimate	thm:ch2-local-l-log-l	label	tex/chapters/sample.tex:511	tex/chapters/sample.tex:511	defined
definition	§7	section	Weighted norm inequality	sec:ch2-weighted-norm-inequality	label	tex/chapters/sample.tex:540	tex/chapters/sample.tex:540	defined
definition	Theorem 2.16	theorem	Weighted maximal inequality	thm:ch2-weighted-maximal	label	tex/chapters/sample.tex:543	tex/chapters/sample.tex:543	defined
definition	(2.11)	equation	Weighted weak bound	eq:ch2-weighted-weak-bound	label	tex/chapters/sample.tex:551	tex/chapters/sample.tex:551	defined
definition	§8	section	Notes and further results	sec:ch2-notes-further-results	label	tex/chapters/sample.tex:588	tex/chapters/sample.tex:588	defined
definition	§8.1	subsection	References	subsec:ch2-references	label	tex/chapters/sample.tex:590	tex/chapters/sample.tex:590	defined
definition	§8.2	subsection	Hardy operator and rearrangements	subsec:ch2-hardy-operator	label	tex/chapters/sample.tex:600	tex/chapters/sample.tex:600	defined
definition	(2.12)	equation	Hardy-operator level-set identity	eq:ch2-hardy-level-set	label	tex/chapters/sample.tex:608	tex/chapters/sample.tex:608	defined
reference	§4	section	Hardy--Littlewood maximal function	sec:ch2-hl-maximal-function	ref	tex/chapters/sample.tex:68	tex/chapters/sample.tex:238	resolved
reference	(2.3)	equation	Ball maximal function	eq:ch2-hl-maximal-ball	eqref	tex/chapters/sample.tex:245	tex/chapters/sample.tex:242	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:245	tex/chapters/sample.tex:94	resolved
reference	(2.5)	equation	Ball/cube maximal equivalence	eq:ch2-ball-cube-equivalence	eqref	tex/chapters/sample.tex:270	tex/chapters/sample.tex:254	resolved
reference	Theorem 2.5	theorem	Hardy--Littlewood maximal bounds	thm:ch2-hl-maximal-bounds	ref	tex/chapters/sample.tex:275	tex/chapters/sample.tex:266	resolved
reference	§6	section	Weak (1,1) inequality	sec:ch2-weak-11-maximal-function	ref	tex/chapters/sample.tex:275	tex/chapters/sample.tex:433	resolved
reference	Theorem 2.5	theorem	Hardy--Littlewood maximal bounds	thm:ch2-hl-maximal-bounds	ref	tex/chapters/sample.tex:286	tex/chapters/sample.tex:266	resolved
reference	Lemma 2.6	lemma	One-dimensional interval covering	lem:ch2-interval-covering	ref	tex/chapters/sample.tex:291	tex/chapters/sample.tex:278	resolved
reference	Lemma 2.6	lemma	One-dimensional interval covering	lem:ch2-interval-covering	ref	tex/chapters/sample.tex:299	tex/chapters/sample.tex:278	resolved
reference	Proposition 2.7	proposition	Radial decreasing majorization	prop:ch2-radial-majorization	ref	tex/chapters/sample.tex:330	tex/chapters/sample.tex:302	resolved
reference	Theorem 2.5	theorem	Hardy--Littlewood maximal bounds	thm:ch2-hl-maximal-bounds	ref	tex/chapters/sample.tex:330	tex/chapters/sample.tex:266	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:330	tex/chapters/sample.tex:94	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:342	tex/chapters/sample.tex:94	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:401	tex/chapters/sample.tex:94	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:417	tex/chapters/sample.tex:374	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:417	tex/chapters/sample.tex:374	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:419	tex/chapters/sample.tex:374	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:435	tex/chapters/sample.tex:374	resolved
reference	Theorem 2.5	theorem	Hardy--Littlewood maximal bounds	thm:ch2-hl-maximal-bounds	ref	tex/chapters/sample.tex:435	tex/chapters/sample.tex:266	resolved
reference	(2.5)	equation	Ball/cube maximal equivalence	eq:ch2-ball-cube-equivalence	eqref	tex/chapters/sample.tex:435	tex/chapters/sample.tex:254	resolved
reference	(2.4)	equation	Centered cube maximal function	eq:ch2-hl-maximal-centered-cube	eqref	tex/chapters/sample.tex:435	tex/chapters/sample.tex:249	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:446	tex/chapters/sample.tex:374	resolved
reference	Lemma 2.12	lemma	Dyadic-to-cube maximal comparison	lem:ch2-dyadic-to-cube-maximal	ref	tex/chapters/sample.tex:454	tex/chapters/sample.tex:438	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:469	tex/chapters/sample.tex:94	resolved
reference	Theorem 2.10	theorem	Dyadic maximal theorem	thm:ch2-dyadic-maximal	ref	tex/chapters/sample.tex:469	tex/chapters/sample.tex:374	resolved
reference	Corollary 2.13	corollary	Lebesgue differentiation theorem	cor:ch2-lebesgue-differentiation	ref	tex/chapters/sample.tex:478	tex/chapters/sample.tex:472	resolved
reference	(2.10)	equation	Lebesgue-point limit	eq:ch2-lebesgue-point	eqref	tex/chapters/sample.tex:489	tex/chapters/sample.tex:480	resolved
reference	Lemma 2.12	lemma	Dyadic-to-cube maximal comparison	lem:ch2-dyadic-to-cube-maximal	ref	tex/chapters/sample.tex:568	tex/chapters/sample.tex:438	resolved
reference	§8.2	subsection	Hardy operator and rearrangements	subsec:ch2-hardy-operator	ref	tex/chapters/sample.tex:595	tex/chapters/sample.tex:600	resolved
reference	Theorem 2.2	theorem	Closed almost-everywhere convergence set	thm:ch2-closed-ae-convergence-set	ref	tex/chapters/sample.tex:597	tex/chapters/sample.tex:94	resolved
reference	(2.1)	equation	Distribution layer-cake identity	eq:ch2-distribution-layer-cake	eqref	tex/chapters/sample.tex:611	tex/chapters/sample.tex:166	resolved
reference	(1.24)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:27	unavailable	needs-review
reference	(1.30)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:27	unavailable	needs-review
reference	(1.31)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:27	unavailable	needs-review
reference	第 8.6 节	section	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:299	unavailable	needs-review
reference	第 1 章第 9 节	section	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:339	unavailable	needs-review
reference	(1.30)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:342	unavailable	needs-review
reference	(1.31)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:342	unavailable	needs-review
reference	(1.24)	equation	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:342	unavailable	needs-review
reference	第 7 章	chapter	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:585	unavailable	needs-review
reference	第 4 章	chapter	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:595	unavailable	needs-review
reference	第 1 章	chapter	target not present in current sample		MBUnresolvedReference	tex/chapters/sample.tex:597	unavailable	needs-review
