Record Kind	Original Reference	Target Object	LaTeX Label	Command	Translation Location	Target Definition	Status
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:47	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	eq	eq:ch14-quasi-optimal-error-assumption	eqref	tex/chapters/chapter-14/section-03.tex:52	tex/chapters/chapter-14/section-03.tex:11	resolved
reference	source or translated reference	eq	eq:ch14-intermediate-regularity-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:62	tex/chapters/chapter-14/section-03.tex:36	resolved
reference	source or translated reference	eq	eq:ch14-quasi-optimal-error-assumption	eqref	tex/chapters/chapter-14/section-03.tex:66	tex/chapters/chapter-14/section-03.tex:11	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:66	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	thm	thm:ch14-intermediate-regularity-error	ref	tex/chapters/chapter-14/section-03.tex:66	tex/chapters/chapter-14/section-03.tex:31	resolved
reference	source or translated reference	eq	eq:ch14-intermediate-regularity-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:68	tex/chapters/chapter-14/section-03.tex:36	resolved
reference	source or translated reference	eq	eq:ch14-operator-interpolation-bound	eqref	tex/chapters/chapter-14/section-03.tex:68	tex/chapters/chapter-14/section-01.tex:73	resolved
reference	source or translated reference	prop	prop:ch14-operator-interpolation	ref	tex/chapters/chapter-14/section-03.tex:68	tex/chapters/chapter-14/section-01.tex:68	resolved
reference	source or translated reference	eq	eq:ch14-intrinsic-fractional-sobolev-norm	eqref	tex/chapters/chapter-14/section-03.tex:80	tex/chapters/chapter-14.tex:12	resolved
reference	source or translated reference	eq	eq:ch14-intermediate-regularity-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:80	tex/chapters/chapter-14/section-03.tex:36	resolved
reference	source or translated reference	thm	thm:ch14-fractional-sobolev-real-interpolation	ref	tex/chapters/chapter-14/section-03.tex:80	tex/chapters/chapter-14/section-02.tex:28	resolved
reference	source or translated reference	eq	eq:ch14-intermediate-regularity-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:80	tex/chapters/chapter-14/section-03.tex:36	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:82	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	eq	eq:ch14-quasi-optimal-error-assumption	eqref	tex/chapters/chapter-14/section-03.tex:87	tex/chapters/chapter-14/section-03.tex:11	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:87	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	thm	thm:ch14-intermediate-regularity-error	ref	tex/chapters/chapter-14/section-03.tex:97	tex/chapters/chapter-14/section-03.tex:31	resolved
reference	source or translated reference	eq	eq:ch14-k-functional-little-o	eqref	tex/chapters/chapter-14/section-03.tex:113	tex/chapters/chapter-14/section-01.tex:57	resolved
reference	source or translated reference	eq	eq:ch14-little-o-intermediate-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:113	tex/chapters/chapter-14/section-03.tex:91	resolved
reference	source or translated reference	chap	chap:ch08-max-norm-estimates	ref	tex/chapters/chapter-14/section-03.tex:117	tex/chapters/chapter-08.tex:4	resolved
reference	source or translated reference	sec	sec:ch05-plate-bending-biharmonic-problem	ref	tex/chapters/chapter-14/section-03.tex:147	tex/chapters/chapter-05/section-09.tex:2	resolved
reference	source or translated reference	thm	thm:ch05-plate-negative-norm-error	ref	tex/chapters/chapter-14/section-03.tex:147	tex/chapters/chapter-05/section-09.tex:143	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-03.tex:159	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	source or translated reference	eq	eq:ch14-negative-norm-error-assumption	eqref	tex/chapters/chapter-14/section-03.tex:159	tex/chapters/chapter-14/section-03.tex:151	resolved
reference	source or translated reference	eq	eq:ch14-operator-interpolation-bound	eqref	tex/chapters/chapter-14/section-03.tex:167	tex/chapters/chapter-14/section-01.tex:73	resolved
reference	source or translated reference	thm	thm:ch14-intermediate-regularity-error	ref	tex/chapters/chapter-14/section-03.tex:167	tex/chapters/chapter-14/section-03.tex:31	resolved
reference	source or translated reference	eq	eq:ch08-weighted-interpolation-estimates	eqref	tex/chapters/chapter-14/section-04.tex:7	tex/chapters/chapter-08/section-01.tex:87	resolved
reference	source or translated reference	eq	eq:ch14-single-norm-approximation-assumption	eqref	tex/chapters/chapter-14/section-04.tex:22	tex/chapters/chapter-14/section-04.tex:13	resolved
reference	source or translated reference	eq	eq:ch08-weighted-interpolation-estimates	eqref	tex/chapters/chapter-14/section-04.tex:38	tex/chapters/chapter-08/section-01.tex:87	resolved
reference	source or translated reference	exr	exr:ch14-08	ref	tex/chapters/chapter-14/section-05.tex:8	tex/chapters/chapter-14/exercises.tex:58	resolved
reference	source or translated reference	chap	chap:ch05-n-dimensional-variational-problems	ref	tex/chapters/chapter-14/section-05.tex:11	tex/chapters/chapter-05.tex:4	resolved
reference	source or translated reference	thm	thm:ch14-intermediate-regularity-error	ref	tex/chapters/chapter-14/section-05.tex:32	tex/chapters/chapter-14/section-03.tex:31	resolved
reference	source or translated reference	eq	eq:ch14-piecewise-data-regularity-assumption	eqref	tex/chapters/chapter-14/section-05.tex:37	tex/chapters/chapter-14/section-05.tex:15	resolved
reference	source or translated reference	eq	eq:ch14-smooth-solution-error-estimate	eqref	tex/chapters/chapter-14/section-05.tex:37	tex/chapters/chapter-14/section-03.tex:24	resolved
reference	4.4.20	thm	thm:ch04-source-4-4-20	MBUnresolvedReference	tex/chapters/chapter-14/section-03.tex:15	unavailable	needs-review
reference	2.x.9	exr	exr:ch02-source-2-x-9	MBUnresolvedReference	tex/chapters/chapter-14/section-05.tex:23	unavailable	needs-review
