Registry ID	Command	Target Type	LaTeX Label	Translation Location	Status
xref-ch02-0022	\eqref	eq	eq:ch01-dual-norm	tex/chapters/chapter-02.tex:496	resolved-local
xref-ch02-0023	\eqref	eq	eq:ch02-riesz-representation	tex/chapters/chapter-02.tex:498	resolved-local
xref-ch02-0024	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:500	resolved-local
xref-ch02-0025	\eqref	eq	eq:ch02-riesz-representer-choice	tex/chapters/chapter-02.tex:502	resolved-local
xref-ch02-0026	\eqref	eq	eq:ch01-dual-norm	tex/chapters/chapter-02.tex:504	resolved-local
xref-ch02-0027	\ref	ex	ex:ch02-inner-product-spaces	tex/chapters/chapter-02.tex:525	resolved-local
xref-ch02-0028	\ref	ex	ex:ch02-hilbert-space-examples	tex/chapters/chapter-02.tex:525	resolved-local
xref-ch02-0029	\ref	chap	chap:ch00-basic-concepts	tex/chapters/chapter-02.tex:531	resolved-local
xref-ch02-0030	\ref	thm	thm:ch01-sobolev-inequality	tex/chapters/chapter-02.tex:531	resolved-local
xref-ch02-0031	\eqref	eq	eq:ch01-coercivity-inequality	tex/chapters/chapter-02.tex:531	resolved-local
xref-ch02-0032	\ref	chap	chap:ch00-basic-concepts	tex/chapters/chapter-02.tex:531	resolved-local
xref-ch02-0033	\eqref	eq	eq:ch02-symmetric-conditions	tex/chapters/chapter-02.tex:588	resolved-local
xref-ch02-0034	\eqref	eq	eq:ch02-symmetric-variational-problem	tex/chapters/chapter-02.tex:588	resolved-local
xref-ch02-0035	\ref	prop	prop:ch02-energy-hilbert-space	tex/chapters/chapter-02.tex:592	resolved-local
xref-ch02-0036	\ref	thm	thm:ch02-riesz-representation	tex/chapters/chapter-02.tex:592	resolved-local
xref-ch02-0037	\eqref	eq	eq:ch02-symmetric-conditions	tex/chapters/chapter-02.tex:608	resolved-local
xref-ch02-0038	\eqref	eq	eq:ch02-ritz-galerkin-problem	tex/chapters/chapter-02.tex:608	resolved-local
xref-ch02-0039	\ref	thm	thm:ch02-riesz-representation	tex/chapters/chapter-02.tex:612	resolved-local
xref-ch02-0040	\eqref	eq	eq:ch02-symmetric-variational-problem	tex/chapters/chapter-02.tex:619	resolved-local
xref-ch02-0041	\eqref	eq	eq:ch02-ritz-galerkin-problem	tex/chapters/chapter-02.tex:619	resolved-local
xref-ch02-0042	\ref	thm	thm:ch00-energy-best-approximation	tex/chapters/chapter-02.tex:646	resolved-local
xref-ch02-0043	\ref	ex	ex:ch02-exercise-06	tex/chapters/chapter-02.tex:656	resolved-local
xref-ch02-0044	\ref	cor	cor:ch02-best-energy-approximation	tex/chapters/chapter-02.tex:656	resolved-local
xref-ch02-0045	\eqref	eq	eq:ch02-nonsymmetric-variational-problem	tex/chapters/chapter-02.tex:721	resolved-local
xref-ch02-0046	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02.tex:730	resolved-local
xref-ch02-0047	\eqref	eq	eq:ch02-lax-milgram-problem	tex/chapters/chapter-02.tex:775	resolved-local
xref-ch02-0048	\ref	lem	lem:ch02-contraction-mapping	tex/chapters/chapter-02.tex:800	resolved-local
xref-ch02-0049	\ref	ex	ex:ch02-exercise-08	tex/chapters/chapter-02.tex:886	resolved-local
xref-ch02-0050	\ref	thm	thm:ch02-riesz-representation	tex/chapters/chapter-02.tex:888	resolved-local
xref-ch02-0051	\ref	rem	rem:ch02-riesz-isometry	tex/chapters/chapter-02.tex:888	resolved-local
xref-ch02-0052	\ref	lem	lem:ch02-contraction-mapping	tex/chapters/chapter-02.tex:903	resolved-local
xref-ch02-0053	\ref	lem	lem:ch02-contraction-mapping	tex/chapters/chapter-02.tex:910	resolved-local
xref-ch02-0054	\ref	ex	ex:ch02-exercise-09	tex/chapters/chapter-02.tex:949	resolved-local
xref-ch02-0055	\eqref	eq	eq:ch02-nonsymmetric-conditions	tex/chapters/chapter-02.tex:954	resolved-local
xref-ch02-0056	\eqref	eq	eq:ch02-nonsymmetric-variational-problem	tex/chapters/chapter-02.tex:954	resolved-local
xref-ch02-0057	\eqref	eq	eq:ch02-nonsymmetric-conditions	tex/chapters/chapter-02.tex:958	resolved-local
xref-ch02-0058	\ref	thm	thm:ch02-lax-milgram	tex/chapters/chapter-02.tex:958	resolved-local
xref-ch02-0059	\eqref	eq	eq:ch02-nonsymmetric-conditions	tex/chapters/chapter-02.tex:963	resolved-local
xref-ch02-0060	\eqref	eq	eq:ch02-galerkin-approximation-problem	tex/chapters/chapter-02.tex:963	resolved-local
xref-ch02-0061	\eqref	eq	eq:ch02-nonsymmetric-conditions	tex/chapters/chapter-02.tex:967	resolved-local
xref-ch02-0062	\ref	cor	cor:ch02-nonsymmetric-unique-solution	tex/chapters/chapter-02.tex:967	resolved-local
xref-ch02-0063	\eqref	eq	eq:ch02-galerkin-approximation-problem	tex/chapters/chapter-02.tex:972	resolved-local
xref-ch02-0064	\eqref	eq	eq:ch02-nonsymmetric-variational-problem	tex/chapters/chapter-02.tex:981	resolved-local
xref-ch02-0065	\eqref	eq	eq:ch02-galerkin-approximation-problem	tex/chapters/chapter-02.tex:981	resolved-local
xref-ch02-0066	\eqref	eq	eq:ch02-nonsymmetric-conditions	tex/chapters/chapter-02.tex:985	resolved-local
xref-ch02-0067	\eqref	eq	eq:ch02-nonsymmetric-variational-problem	tex/chapters/chapter-02.tex:985	resolved-local
xref-ch02-0068	\eqref	eq	eq:ch02-galerkin-approximation-problem	tex/chapters/chapter-02.tex:985	resolved-local
xref-ch02-0069	\ref	def	def:ch02-bounded-coercive-form	tex/chapters/chapter-02.tex:1075	resolved-local
xref-ch02-0070	\ref	def	def:ch02-bounded-coercive-form	tex/chapters/chapter-02.tex:1086	resolved-local
xref-ch02-0071	\eqref	eq	eq:ch02-positive-coefficients	tex/chapters/chapter-02.tex:1092	resolved-local
xref-ch02-0072	\eqref	eq	eq:ch02-symmetric-variational-problem	tex/chapters/chapter-02.tex:1092	resolved-local
xref-ch02-0073	\eqref	eq	eq:ch02-ritz-galerkin-problem	tex/chapters/chapter-02.tex:1092	resolved-local
xref-ch02-0074	\ref	cor	cor:ch02-best-energy-approximation	tex/chapters/chapter-02.tex:1092	resolved-local
xref-ch02-0075	\eqref	eq	eq:ch02-positive-coefficients	tex/chapters/chapter-02.tex:1095	resolved-local
xref-ch02-0076	\eqref	eq	eq:ch00-young-inequality-delta	tex/chapters/chapter-02.tex:1097	resolved-local
xref-ch02-0077	\eqref	eq	eq:ch02-positive-coefficients	tex/chapters/chapter-02.tex:1106	resolved-local
xref-ch02-0078	\eqref	eq	eq:ch02-positive-coefficients	tex/chapters/chapter-02.tex:1118	resolved-local
xref-ch02-0079	\eqref	eq	eq:ch02-convection-smallness	tex/chapters/chapter-02.tex:1118	resolved-local
xref-ch02-0080	\eqref	eq	eq:ch02-nonsymmetric-variational-problem	tex/chapters/chapter-02.tex:1118	resolved-local
xref-ch02-0081	\eqref	eq	eq:ch02-galerkin-approximation-problem	tex/chapters/chapter-02.tex:1118	resolved-local
xref-ch02-0082	\eqref	eq	eq:ch02-cea-estimate	tex/chapters/chapter-02.tex:1118	resolved-local
xref-ch02-0083	\MBUnresolvedReference	chap	chap:ch05-n-dimensional-variational-problems	tex/chapters/chapter-02.tex:1121	unresolved-external
xref-ch02-0084	\ref	ex	ex:ch02-hilbert-subspaces	tex/chapters/chapter-02-exercises.tex:8	resolved-local
xref-ch02-0085	\ref	prop	prop:ch02-orthogonal-complement-properties	tex/chapters/chapter-02-exercises.tex:18	resolved-local
xref-ch02-0086	\ref	thm	thm:ch02-parallelogram-law	tex/chapters/chapter-02-exercises.tex:23	resolved-local
xref-ch02-0087	\eqref	eq	eq:ch02-pm-perp-definition	tex/chapters/chapter-02-exercises.tex:28	resolved-local
xref-ch02-0088	\ref	rem	rem:ch02-ritz-method	tex/chapters/chapter-02-exercises.tex:33	resolved-local
xref-ch02-0089	\ref	lem	lem:ch02-contraction-mapping	tex/chapters/chapter-02-exercises.tex:38	resolved-local
xref-ch02-0090	\ref	thm	thm:ch02-lax-milgram	tex/chapters/chapter-02-exercises.tex:43	resolved-local
xref-ch02-0091	\ref	rem	rem:ch02-lax-milgram-stability	tex/chapters/chapter-02-exercises.tex:54	resolved-local
xref-ch02-0092	\eqref	eq	eq:ch02-large-k-differential-equation	tex/chapters/chapter-02-exercises.tex:59	resolved-local
xref-ch02-0093	\ref	ex	ex:ch02-exercise-11	tex/chapters/chapter-02-exercises.tex:91	resolved-local
xref-ch02-0094	\ref	ex	ex:ch01-exercise-39	tex/chapters/chapter-02-exercises.tex:100	resolved-local
xref-ch02-0095	\eqref	eq	eq:ch02-schwarz-inequality	tex/chapters/chapter-02-exercises.tex:110	resolved-local
