Source Reference	Target Object	LaTeX Label	Translation Location
eq:ch3-projection-pressure-update	equation	eq:ch3-projection-pressure-update	tex/chapters/chapter-03/section-07.tex:157
eq:ch3-projection-pressure-update	equation	eq:ch3-projection-pressure-update	tex/chapters/chapter-03/section-07.tex:157
subsec:ch3-projection-nplusone-step	non-equation	subsec:ch3-projection-nplusone-step	tex/chapters/chapter-03/section-07.tex:173
eq:ch3-projection-two-step-momentum	equation	eq:ch3-projection-two-step-momentum	tex/chapters/chapter-03/section-07.tex:211
eq:ch3-projection-bhat-cancellation	equation	eq:ch3-projection-bhat-cancellation	tex/chapters/chapter-03/section-07.tex:211
eq:ch3-projection-two-step-project	equation	eq:ch3-projection-two-step-project	tex/chapters/chapter-03/section-07.tex:230
eq:ch3-projection-basic-energy	equation	eq:ch3-projection-basic-energy	tex/chapters/chapter-03/section-07.tex:236
eq:ch3-projection-basic-energy-bound	equation	eq:ch3-projection-basic-energy-bound	tex/chapters/chapter-03/section-07.tex:236
eq:ch3-projection-basic-h1	equation	eq:ch3-projection-basic-h1	tex/chapters/chapter-03/section-07.tex:247
eq:ch3-projection-basic-momentum-jumps	equation	eq:ch3-projection-basic-momentum-jumps	tex/chapters/chapter-03/section-07.tex:247
eq:ch3-projection-basic-energy-bound	equation	eq:ch3-projection-basic-energy-bound	tex/chapters/chapter-03/section-07.tex:249
eq:ch3-projection-projection-energy	equation	eq:ch3-projection-projection-energy	tex/chapters/chapter-03/section-07.tex:249
eq:ch3-projection-basic-energy-bound	equation	eq:ch3-projection-basic-energy-bound	tex/chapters/chapter-03/section-07.tex:255
eq:ch3-projection-projection-energy	equation	eq:ch3-projection-projection-energy	tex/chapters/chapter-03/section-07.tex:255
eq:ch3-projection-basic-linfty	equation	eq:ch3-projection-basic-linfty	tex/chapters/chapter-03/section-07.tex:259
lem:ch3-projection-basic-estimates	non-equation	lem:ch3-projection-basic-estimates	tex/chapters/chapter-03/section-07.tex:279
lem:ch3-projection-function-bounds	non-equation	lem:ch3-projection-function-bounds	tex/chapters/chapter-03/section-07.tex:303
eq:ch3-projection-stage-difference	equation	eq:ch3-projection-stage-difference	tex/chapters/chapter-03/section-07.tex:303
lem:ch3-projection-basic-estimates	non-equation	lem:ch3-projection-basic-estimates	tex/chapters/chapter-03/section-07.tex:303
eq:ch3-projection-interpolant-difference	equation	eq:ch3-projection-interpolant-difference	tex/chapters/chapter-03/section-07.tex:303
eq:ch3-projection-basic-projection-jumps	equation	eq:ch3-projection-basic-projection-jumps	tex/chapters/chapter-03/section-07.tex:318
eq:ch3-projection-basic-momentum-jumps	equation	eq:ch3-projection-basic-momentum-jumps	tex/chapters/chapter-03/section-07.tex:318
eq:ch3-projection-two-step-momentum	equation	eq:ch3-projection-two-step-momentum	tex/chapters/chapter-03/section-07.tex:346
eq:ch3-projection-two-step-project	equation	eq:ch3-projection-two-step-project	tex/chapters/chapter-03/section-07.tex:346
lem:ch3-projection-function-bounds	non-equation	lem:ch3-projection-function-bounds	tex/chapters/chapter-03/section-07.tex:393
eq:ch3-projection-fourier-bound	equation	eq:ch3-projection-fourier-bound	tex/chapters/chapter-03/section-07.tex:398
eq:ch3-projection-force-assumption	equation	eq:ch3-projection-force-assumption	tex/chapters/chapter-03/section-07.tex:409
eq:ch3-projection-initial-assumption	equation	eq:ch3-projection-initial-assumption	tex/chapters/chapter-03/section-07.tex:409
eq:ch3-projection-piecewise-constant	equation	eq:ch3-projection-piecewise-constant	tex/chapters/chapter-03/section-07.tex:409
eq:ch3-projection-piecewise-linear	equation	eq:ch3-projection-piecewise-linear	tex/chapters/chapter-03/section-07.tex:409
eq:ch3-projection-force-assumption	equation	eq:ch3-projection-force-assumption	tex/chapters/chapter-03/section-07.tex:428
eq:ch3-projection-initial-assumption	equation	eq:ch3-projection-initial-assumption	tex/chapters/chapter-03/section-07.tex:428
eq:ch3-projection-convergence-3d-l2	equation	eq:ch3-projection-convergence-3d-l2	tex/chapters/chapter-03/section-07.tex:444
eq:ch3-projection-convergence-3d-h1	equation	eq:ch3-projection-convergence-3d-h1	tex/chapters/chapter-03/section-07.tex:444
lem:ch3-projection-function-bounds	non-equation	lem:ch3-projection-function-bounds	tex/chapters/chapter-03/section-07.tex:454
lem:ch3-projection-function-differences	non-equation	lem:ch3-projection-function-differences	tex/chapters/chapter-03/section-07.tex:471
thm:ch1-helmholtz-decomposition	non-equation	thm:ch1-helmholtz-decomposition	tex/chapters/chapter-03/section-07.tex:488
eq:ch3-projection-orthogonal-decomposition	equation	eq:ch3-projection-orthogonal-decomposition	tex/chapters/chapter-03/section-07.tex:499
eq:ch3-projection-stage-difference	equation	eq:ch3-projection-stage-difference	tex/chapters/chapter-03/section-07.tex:499
lem:ch3-projection-function-bounds	non-equation	lem:ch3-projection-function-bounds	tex/chapters/chapter-03/section-07.tex:510
eq:ch3-projection-interpolation-bound	equation	eq:ch3-projection-interpolation-bound	tex/chapters/chapter-03/section-07.tex:541
eq:ch3-projection-phperp-difference	equation	eq:ch3-projection-phperp-difference	tex/chapters/chapter-03/section-07.tex:551
eq:ch3-projection-ph-h-strong	equation	eq:ch3-projection-ph-h-strong	tex/chapters/chapter-03/section-07.tex:551
eq:ch3-projection-stage-difference	equation	eq:ch3-projection-stage-difference	tex/chapters/chapter-03/section-07.tex:557
eq:ch3-projection-interpolant-difference	equation	eq:ch3-projection-interpolant-difference	tex/chapters/chapter-03/section-07.tex:557
thm:ch3-projection-convergence-two-dimensional	non-equation	thm:ch3-projection-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:569
thm:ch3-projection-convergence-three-dimensional	non-equation	thm:ch3-projection-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:569
eq:ch3-projection-time-equation	equation	eq:ch3-projection-time-equation	tex/chapters/chapter-03/section-07.tex:572
eq:ch3-projection-subsequence-u1	equation	eq:ch3-projection-subsequence-u1	tex/chapters/chapter-03/section-07.tex:580
eq:ch3-projection-subsequence-uk	equation	eq:ch3-projection-subsequence-uk	tex/chapters/chapter-03/section-07.tex:580
eq:ch3-projection-common-limit	equation	eq:ch3-projection-common-limit	tex/chapters/chapter-03/section-07.tex:580
eq:ch3-projection-bhat	equation	eq:ch3-projection-bhat	tex/chapters/chapter-03/section-07.tex:589
eq:ch3-projection-u1-l2-strong	equation	eq:ch3-projection-u1-l2-strong	tex/chapters/chapter-03/section-07.tex:589
lem:ch3-existence-nonlinear-limit	non-equation	lem:ch3-existence-nonlinear-limit	tex/chapters/chapter-03/section-07.tex:589
eq:ch3-projection-bhat	equation	eq:ch3-projection-bhat	tex/chapters/chapter-03/section-07.tex:594
thm:ch3-existence-weak-solution	non-equation	thm:ch3-existence-weak-solution	tex/chapters/chapter-03/section-07.tex:614
thm:ch3-projection-convergence-three-dimensional	non-equation	thm:ch3-projection-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:616
eq:ch3-projection-subsequence-u1	equation	eq:ch3-projection-subsequence-u1	tex/chapters/chapter-03/section-07.tex:616
eq:ch3-projection-subsequence-uk	equation	eq:ch3-projection-subsequence-uk	tex/chapters/chapter-03/section-07.tex:616
thm:ch3-projection-convergence-two-dimensional	non-equation	thm:ch3-projection-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:618
eq:ch3-projection-basic-linfty	equation	eq:ch3-projection-basic-linfty	tex/chapters/chapter-03/section-07.tex:628
eq:ch3-projection-time-equation	equation	eq:ch3-projection-time-equation	tex/chapters/chapter-03/section-07.tex:634
eq:ch3-projection-final-subsequence	equation	eq:ch3-projection-final-subsequence	tex/chapters/chapter-03/section-07.tex:653
eq:ch3-projection-subsequence-u1	equation	eq:ch3-projection-subsequence-u1	tex/chapters/chapter-03/section-07.tex:682
lem:ch3-projection-final-time-weak	non-equation	lem:ch3-projection-final-time-weak	tex/chapters/chapter-03/section-07.tex:682
eq:ch3-projection-basic-energy	equation	eq:ch3-projection-basic-energy	tex/chapters/chapter-03/section-07.tex:687
eq:ch3-projection-projection-energy	equation	eq:ch3-projection-projection-energy	tex/chapters/chapter-03/section-07.tex:687
subsec:ch1-finite-difference-approximation	non-equation	subsec:ch1-finite-difference-approximation	tex/chapters/chapter-03/section-07.tex:725
eq:ch3-apx1-bh-decomposition	equation	eq:ch3-apx1-bh-decomposition	tex/chapters/chapter-03/section-07.tex:743
eq:ch3-apx1-bh-double-prime	equation	eq:ch3-apx1-bh-double-prime	tex/chapters/chapter-03/section-07.tex:743
eq:ch3-projection-force-assumption	equation	eq:ch3-projection-force-assumption	tex/chapters/chapter-03/section-07.tex:773
eq:ch3-projection-initial-assumption	equation	eq:ch3-projection-initial-assumption	tex/chapters/chapter-03/section-07.tex:773
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:823
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:823
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:825
eq:ch3-projection-discrete-bilinear-form	equation	eq:ch3-projection-discrete-bilinear-form	tex/chapters/chapter-03/section-07.tex:837
eq:ch3-projection-bih-cancellation	equation	eq:ch3-projection-bih-cancellation	tex/chapters/chapter-03/section-07.tex:837
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:840
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:842
subsec:ch1-finite-difference-approximation	non-equation	subsec:ch1-finite-difference-approximation	tex/chapters/chapter-03/section-07.tex:842
eq:ch3-projection-discrete-lagrange-multipliers	equation	eq:ch3-projection-discrete-lagrange-multipliers	tex/chapters/chapter-03/section-07.tex:870
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:886
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:888
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:900
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:904
rem:ch3-projection-neumann-pressure	non-equation	rem:ch3-projection-neumann-pressure	tex/chapters/chapter-03/section-07.tex:906
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:906
eq:ch3-projection-pressure-neumann	equation	eq:ch3-projection-pressure-neumann	tex/chapters/chapter-03/section-07.tex:906
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:917
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:919
subsubsec:ch3-projection-conditional-estimates	non-equation	subsubsec:ch3-projection-conditional-estimates	tex/chapters/chapter-03/section-07.tex:925
subsubsec:ch3-projection-auxiliary-results	non-equation	subsubsec:ch3-projection-auxiliary-results	tex/chapters/chapter-03/section-07.tex:925
subsubsec:ch3-projection-bih-estimates	non-equation	subsubsec:ch3-projection-bih-estimates	tex/chapters/chapter-03/section-07.tex:925
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:956
eq:ch3-projection-bih-cancellation	equation	eq:ch3-projection-bih-cancellation	tex/chapters/chapter-03/section-07.tex:956
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:977
eq:ch3-projection-discrete-energy-bound	equation	eq:ch3-projection-discrete-energy-bound	tex/chapters/chapter-03/section-07.tex:983
eq:ch3-projection-discrete-projection-energy	equation	eq:ch3-projection-discrete-projection-energy	tex/chapters/chapter-03/section-07.tex:983
eq:ch3-projection-discrete-initial-bound	equation	eq:ch3-projection-discrete-initial-bound	tex/chapters/chapter-03/section-07.tex:995
eq:ch3-projection-discrete-summed-energy	equation	eq:ch3-projection-discrete-summed-energy	tex/chapters/chapter-03/section-07.tex:1000
eq:ch3-projection-discrete-directional-h1	equation	eq:ch3-projection-discrete-directional-h1	tex/chapters/chapter-03/section-07.tex:1000
eq:ch3-projection-discrete-stage-jumps	equation	eq:ch3-projection-discrete-stage-jumps	tex/chapters/chapter-03/section-07.tex:1000
eq:ch3-projection-discrete-energy-bound	equation	eq:ch3-projection-discrete-energy-bound	tex/chapters/chapter-03/section-07.tex:1003
eq:ch3-projection-discrete-projection-energy	equation	eq:ch3-projection-discrete-projection-energy	tex/chapters/chapter-03/section-07.tex:1003
lem:ch3-projection-discrete-basic-estimates	non-equation	lem:ch3-projection-discrete-basic-estimates	tex/chapters/chapter-03/section-07.tex:1038
eq:ch3-projection-discrete-piecewise-constant	equation	eq:ch3-projection-discrete-piecewise-constant	tex/chapters/chapter-03/section-07.tex:1043
eq:ch3-projection-discrete-piecewise-linear	equation	eq:ch3-projection-discrete-piecewise-linear	tex/chapters/chapter-03/section-07.tex:1043
eq:ch3-projection-discrete-stage-jumps	equation	eq:ch3-projection-discrete-stage-jumps	tex/chapters/chapter-03/section-07.tex:1049
lem:ch3-projection-function-differences	non-equation	lem:ch3-projection-function-differences	tex/chapters/chapter-03/section-07.tex:1056
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:1080
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:1080
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:1097
prop:ch3-apx1-stability-constant	non-equation	prop:ch3-apx1-stability-constant	tex/chapters/chapter-03/section-07.tex:1122
prop:ch3-apx1-stability-constant	non-equation	prop:ch3-apx1-stability-constant	tex/chapters/chapter-03/section-07.tex:1122
eq:ch3-projection-aih-definition	equation	eq:ch3-projection-aih-definition	tex/chapters/chapter-03/section-07.tex:1136
eq:ch3-projection-directional-inverse-inequality	equation	eq:ch3-projection-directional-inverse-inequality	tex/chapters/chapter-03/section-07.tex:1136
eq:ch3-projection-aih-bound	equation	eq:ch3-projection-aih-bound	tex/chapters/chapter-03/section-07.tex:1143
eq:ch3-projection-bih-prime-2d	equation	eq:ch3-projection-bih-prime-2d	tex/chapters/chapter-03/section-07.tex:1175
eq:ch3-projection-bih-prime-2d	equation	eq:ch3-projection-bih-prime-2d	tex/chapters/chapter-03/section-07.tex:1258
eq:ch3-projection-bih-double-prime-2d	equation	eq:ch3-projection-bih-double-prime-2d	tex/chapters/chapter-03/section-07.tex:1260
eq:ch3-projection-bih-cancellation	equation	eq:ch3-projection-bih-cancellation	tex/chapters/chapter-03/section-07.tex:1260
eq:ch3-projection-bih-prime-2d	equation	eq:ch3-projection-bih-prime-2d	tex/chapters/chapter-03/section-07.tex:1266
eq:ch3-projection-bih-operator-2d	equation	eq:ch3-projection-bih-operator-2d	tex/chapters/chapter-03/section-07.tex:1266
eq:ch3-projection-bih-cancellation	equation	eq:ch3-projection-bih-cancellation	tex/chapters/chapter-03/section-07.tex:1266
eq:ch3-projection-bih-prime-3d	equation	eq:ch3-projection-bih-prime-3d	tex/chapters/chapter-03/section-07.tex:1303
eq:ch3-projection-bih-double-prime-3d	equation	eq:ch3-projection-bih-double-prime-3d	tex/chapters/chapter-03/section-07.tex:1303
lem:ch3-apx1-trilinear-components	non-equation	lem:ch3-apx1-trilinear-components	tex/chapters/chapter-03/section-07.tex:1303
eq:ch3-projection-bih-operator-3d	equation	eq:ch3-projection-bih-operator-3d	tex/chapters/chapter-03/section-07.tex:1303
eq:ch3-projection-discrete-operator-form	equation	eq:ch3-projection-discrete-operator-form	tex/chapters/chapter-03/section-07.tex:1327
eq:ch3-projection-discrete-operator-form	equation	eq:ch3-projection-discrete-operator-form	tex/chapters/chapter-03/section-07.tex:1327
eq:ch3-projection-directional-inverse-inequality	equation	eq:ch3-projection-directional-inverse-inequality	tex/chapters/chapter-03/section-07.tex:1344
eq:ch3-projection-aih-bound	equation	eq:ch3-projection-aih-bound	tex/chapters/chapter-03/section-07.tex:1344
eq:ch3-projection-bih-operator-2d	equation	eq:ch3-projection-bih-operator-2d	tex/chapters/chapter-03/section-07.tex:1344
lem:ch3-projection-discrete-basic-estimates	non-equation	lem:ch3-projection-discrete-basic-estimates	tex/chapters/chapter-03/section-07.tex:1369
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1369
eq:ch3-projection-conditional-bound-2d	equation	eq:ch3-projection-conditional-bound-2d	tex/chapters/chapter-03/section-07.tex:1369
eq:ch3-projection-discrete-operator-form	equation	eq:ch3-projection-discrete-operator-form	tex/chapters/chapter-03/section-07.tex:1371
eq:ch3-projection-conditional-bound-2d	equation	eq:ch3-projection-conditional-bound-2d	tex/chapters/chapter-03/section-07.tex:1380
eq:ch3-projection-discrete-operator-form	equation	eq:ch3-projection-discrete-operator-form	tex/chapters/chapter-03/section-07.tex:1380
lem:ch3-projection-conditional-estimate-two-dimensional	non-equation	lem:ch3-projection-conditional-estimate-two-dimensional	tex/chapters/chapter-03/section-07.tex:1408
eq:ch3-projection-bih-operator-3d	equation	eq:ch3-projection-bih-operator-3d	tex/chapters/chapter-03/section-07.tex:1408
eq:ch3-projection-bih-operator-2d	equation	eq:ch3-projection-bih-operator-2d	tex/chapters/chapter-03/section-07.tex:1408
eq:ch3-projection-stability-condition-3d	equation	eq:ch3-projection-stability-condition-3d	tex/chapters/chapter-03/section-07.tex:1408
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1408
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1416
eq:ch3-projection-stability-condition-3d	equation	eq:ch3-projection-stability-condition-3d	tex/chapters/chapter-03/section-07.tex:1416
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1430
eq:ch3-projection-force-assumption	equation	eq:ch3-projection-force-assumption	tex/chapters/chapter-03/section-07.tex:1449
eq:ch3-projection-initial-assumption	equation	eq:ch3-projection-initial-assumption	tex/chapters/chapter-03/section-07.tex:1449
eq:ch3-projection-stability-condition-3d	equation	eq:ch3-projection-stability-condition-3d	tex/chapters/chapter-03/section-07.tex:1456
thm:ch3-projection-convergence-two-dimensional	non-equation	thm:ch3-projection-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:1474
thm:ch3-projection-convergence-three-dimensional	non-equation	thm:ch3-projection-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:1474
thm:ch3-convergence-two-dimensional	non-equation	thm:ch3-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:1474
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:1474
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1482
eq:ch3-projection-stability-condition-3d	equation	eq:ch3-projection-stability-condition-3d	tex/chapters/chapter-03/section-07.tex:1482
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:1492
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:1492
eq:ch3-projection-discrete-piecewise-constant	equation	eq:ch3-projection-discrete-piecewise-constant	tex/chapters/chapter-03/section-07.tex:1503
eq:ch3-projection-discrete-piecewise-linear	equation	eq:ch3-projection-discrete-piecewise-linear	tex/chapters/chapter-03/section-07.tex:1503
thm:ch3-projection-discrete-convergence-two-dimensional	non-equation	thm:ch3-projection-discrete-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:1517
thm:ch3-projection-discrete-convergence-three-dimensional	non-equation	thm:ch3-projection-discrete-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:1517
thm:ch3-projection-unconditional-stability	non-equation	thm:ch3-projection-unconditional-stability	tex/chapters/chapter-03/section-07.tex:1518
rem:ch3-projection-discrete-stage-convergence	non-equation	rem:ch3-projection-discrete-stage-convergence	tex/chapters/chapter-03/section-07.tex:1530
thm:ch3-projection-conditional-stability	non-equation	thm:ch3-projection-conditional-stability	tex/chapters/chapter-03/section-07.tex:1537
lem:ch3-projection-discrete-fourier-bound	non-equation	lem:ch3-projection-discrete-fourier-bound	tex/chapters/chapter-03/section-07.tex:1546
eq:ch3-convergence-compactness-property	equation	eq:ch3-convergence-compactness-property	tex/chapters/chapter-03/section-07.tex:1546
rem:ch3-projection-discrete-stage-convergence	non-equation	rem:ch3-projection-discrete-stage-convergence	tex/chapters/chapter-03/section-07.tex:1552
eq:ch3-projection-discrete-subsequence-stages	equation	eq:ch3-projection-discrete-subsequence-stages	tex/chapters/chapter-03/section-07.tex:1558
eq:ch3-projection-discrete-subsequence-interpolant	equation	eq:ch3-projection-discrete-subsequence-interpolant	tex/chapters/chapter-03/section-07.tex:1558
eq:ch3-projection-discrete-weak-derivative-limit	equation	eq:ch3-projection-discrete-weak-derivative-limit	tex/chapters/chapter-03/section-07.tex:1558
eq:ch3-projection-discrete-strong-stages	equation	eq:ch3-projection-discrete-strong-stages	tex/chapters/chapter-03/section-07.tex:1558
thm:ch3-convergence-two-dimensional	non-equation	thm:ch3-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:1558
thm:ch3-convergence-three-dimensional	non-equation	thm:ch3-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:1558
thm:ch3-projection-convergence-two-dimensional	non-equation	thm:ch3-projection-convergence-two-dimensional	tex/chapters/chapter-03/section-07.tex:1558
thm:ch3-projection-convergence-three-dimensional	non-equation	thm:ch3-projection-convergence-three-dimensional	tex/chapters/chapter-03/section-07.tex:1558
eq:ch3-projection-discrete-time-equation	equation	eq:ch3-projection-discrete-time-equation	tex/chapters/chapter-03/section-07.tex:1558
eq:ch3-projection-discrete-convergence-2d-strong-directional	equation	eq:ch3-projection-discrete-convergence-2d-strong-directional	tex/chapters/chapter-03/section-07.tex:1562
lem:ch3-projection-h1-strong	non-equation	lem:ch3-projection-h1-strong	tex/chapters/chapter-03/section-07.tex:1562
eq:ch3-projection-discrete-directional-step	equation	eq:ch3-projection-discrete-directional-step	tex/chapters/chapter-03/section-07.tex:1574
eq:ch3-projection-discrete-projection-step	equation	eq:ch3-projection-discrete-projection-step	tex/chapters/chapter-03/section-07.tex:1574
eq:ch3-projection-semidiscrete-analogue	equation	eq:ch3-projection-semidiscrete-analogue	tex/chapters/chapter-03/section-07.tex:1587
lem:ch3-projection-discrete-basic-estimates	non-equation	lem:ch3-projection-discrete-basic-estimates	tex/chapters/chapter-03/section-07.tex:1592
lem:ch3-projection-conditional-estimate-two-dimensional	non-equation	lem:ch3-projection-conditional-estimate-two-dimensional	tex/chapters/chapter-03/section-07.tex:1592
lem:ch3-projection-conditional-estimate-three-dimensional	non-equation	lem:ch3-projection-conditional-estimate-three-dimensional	tex/chapters/chapter-03/section-07.tex:1592
eq:ch3-projection-stability-condition-2d	equation	eq:ch3-projection-stability-condition-2d	tex/chapters/chapter-03/section-07.tex:1592
eq:ch3-projection-stability-condition-3d	equation	eq:ch3-projection-stability-condition-3d	tex/chapters/chapter-03/section-07.tex:1592
