English	Preferred Chinese	Domain	Context	Forbidden Alternatives	Status	First Source	First Location	Last Verified Source	Last Verified Location	Notes
arithmetic-geometric mean inequality	算术-几何平均不等式	analysis	inequality used in weighted error estimates		needs-review	The Mathematical Theory of Finite Element Methods	PDF 32	The Mathematical Theory of Finite Element Methods	PDF 33	Book-local candidate only
coercivity	强制性	functional analysis	lower bound for the energy bilinear form		needs-review	The Mathematical Theory of Finite Element Methods	PDF 35	The Mathematical Theory of Finite Element Methods	PDF 36	Book-local candidate only
well-posed	适定	partial differential equations	existence uniqueness and continuous dependence context		needs-review	The Mathematical Theory of Finite Element Methods	PDF 35	The Mathematical Theory of Finite Element Methods	PDF 35	Book-local candidate only
Lebesgue integration	Lebesgue 积分	measure theory	integration theory used to define Sobolev spaces		needs-review	The Mathematical Theory of Finite Element Methods	PDF 38	The Mathematical Theory of Finite Element Methods	PDF 62	Personal name preserved
weak derivative	弱导数	functional analysis	global derivative defined by testing against compactly supported smooth functions		needs-review	The Mathematical Theory of Finite Element Methods	PDF 38	The Mathematical Theory of Finite Element Methods	PDF 62	Book-local candidate only
multi-index	多重指标	analysis	n-tuple used to index partial derivatives		needs-review	The Mathematical Theory of Finite Element Methods	PDF 41	The Mathematical Theory of Finite Element Methods	PDF 58	Book-local candidate only
compact support	紧支集	functional analysis	support compactly contained in a domain		needs-review	The Mathematical Theory of Finite Element Methods	PDF 41	The Mathematical Theory of Finite Element Methods	PDF 42	Book-local candidate only
locally integrable function	局部可积函数	measure theory	function integrable on each compact interior subset		needs-review	The Mathematical Theory of Finite Element Methods	PDF 42	The Mathematical Theory of Finite Element Methods	PDF 61	Book-local candidate only
Sobolev norm	Sobolev 范数	functional analysis	norm combining weak derivatives through order k		needs-review	The Mathematical Theory of Finite Element Methods	PDF 44	The Mathematical Theory of Finite Element Methods	PDF 50	Personal name preserved
Sobolev space	Sobolev 空间	functional analysis	function space controlled by weak derivatives		needs-review	The Mathematical Theory of Finite Element Methods	PDF 38	The Mathematical Theory of Finite Element Methods	PDF 62	Personal name preserved
Sobolev seminorm	Sobolev 半范数	functional analysis	seminorm using weak derivatives of order exactly k		needs-review	The Mathematical Theory of Finite Element Methods	PDF 47	The Mathematical Theory of Finite Element Methods	PDF 62	Personal name preserved
Banach space	Banach 空间	functional analysis	complete normed linear space		needs-review	The Mathematical Theory of Finite Element Methods	PDF 40	The Mathematical Theory of Finite Element Methods	PDF 61	Personal name preserved
Cauchy sequence	Cauchy 序列	functional analysis	sequence Cauchy in a norm-induced metric		needs-review	The Mathematical Theory of Finite Element Methods	PDF 39	The Mathematical Theory of Finite Element Methods	PDF 53	Personal name preserved
Lipschitz boundary	Lipschitz 边界	functional analysis	boundary locally represented by Lipschitz graphs		needs-review	The Mathematical Theory of Finite Element Methods	PDF 48	The Mathematical Theory of Finite Element Methods	PDF 62	Personal name preserved
extension mapping	延拓映射	functional analysis	bounded map extending Sobolev functions to all of R^n		needs-review	The Mathematical Theory of Finite Element Methods	PDF 48	The Mathematical Theory of Finite Element Methods	PDF 50	Book-local candidate only
trace	迹	functional analysis	boundary restriction defined by density for Sobolev functions		needs-review	The Mathematical Theory of Finite Element Methods	PDF 51	The Mathematical Theory of Finite Element Methods	PDF 60	Book-local candidate only
dual space	对偶空间	functional analysis	space of continuous linear functionals		needs-review	The Mathematical Theory of Finite Element Methods	PDF 55	The Mathematical Theory of Finite Element Methods	PDF 61	Book-local candidate only
dual norm	对偶范数	functional analysis	operator norm on a continuous dual space		needs-review	The Mathematical Theory of Finite Element Methods	PDF 55	The Mathematical Theory of Finite Element Methods	PDF 61	Book-local candidate only
mollification	光滑化	functional analysis	convolution with a scaled smooth compactly supported function		needs-review	The Mathematical Theory of Finite Element Methods	PDF 46	The Mathematical Theory of Finite Element Methods	PDF 62	Book-local candidate only; distinct context from multigrid smoothing
segment condition	线段条件	functional analysis	domain regularity condition used for smooth density		needs-review	The Mathematical Theory of Finite Element Methods	PDF 46	The Mathematical Theory of Finite Element Methods	PDF 60	Book-local candidate only
absolutely continuous function	绝对连续函数	real analysis	one-dimensional characterization related to W_1^1		needs-review	The Mathematical Theory of Finite Element Methods	PDF 45	The Mathematical Theory of Finite Element Methods	PDF 60	Book-local candidate only
essential supremum	本质上确界	measure theory	L-infinity norm operation		needs-review	The Mathematical Theory of Finite Element Methods	PDF 38	The Mathematical Theory of Finite Element Methods	PDF 38	Book-local candidate only
Dirac delta function	Dirac delta 函数	functional analysis	point-evaluation functional on sufficiently regular Sobolev spaces		needs-review	The Mathematical Theory of Finite Element Methods	PDF 56	The Mathematical Theory of Finite Element Methods	PDF 61	Personal name preserved
