Source Form	Canonical Form	Category	First Occurrence	Language or Script	Preserve Exactly	Review Status	Notes
Mikusinski	Mikusinski	cited person	PDF 45	Latin	true	reviewed	Preserved exactly as printed
Meyers	Meyers	cited person	PDF 46	Latin	true	reviewed	Preserved exactly
Serrin	Serrin	cited person	PDF 46	Latin	true	reviewed	Preserved exactly
Adams	Adams	cited person	PDF 46	Latin	true	reviewed	Preserved exactly
Stein	Stein	cited person	PDF 48	Latin	true	reviewed	Preserved exactly
Grisvard	Grisvard	cited person	PDF 54	Latin	true	reviewed	Preserved exactly
Trèves	Trèves	cited person	PDF 55	Latin	true	reviewed	Diacritic preserved
Riesz	Riesz	eponym	PDF 56	Latin	true	reviewed	Preserved in Riesz Representation Theorem
Dirac	Dirac	eponym	PDF 56	Latin	true	reviewed	Preserved in Dirac delta function
Fubini	Fubini	eponym	PDF 57	Latin	true	reviewed	Preserved in Fubini theorem
Hardy	Hardy	eponym	PDF 58	Latin	true	reviewed	Preserved in Hardy inequality
Dupont	Dupont	cited person	PDF 59	Latin	true	reviewed	Preserved exactly
Lax-Milgram	Lax--Milgram	eponym	PDF 74	Latin	true	reviewed	Source compound name rendered with the established LaTeX double hyphen
Céa	Céa	eponym	PDF 78	Latin	true	reviewed	Accent preserved in Céa theorem
Ciarlet	Ciarlet	cited person	PDF 82	Latin	true	reviewed	Preserved exactly
Lagrange	Lagrange	eponym	PDF 83	Latin	true	reviewed	Preserved in Lagrange element
Crouzeix-Raviart	Crouzeix--Raviart	eponym	PDF 85	Latin	true	reviewed	Source compound name rendered with the established LaTeX double hyphen
Hermite	Hermite	eponym	PDF 88	Latin	true	reviewed	Preserved in Hermite element
Argyris	Argyris	eponym	PDF 89	Latin	true	reviewed	Preserved in Argyris element
Raviart	Raviart	cited person	PDF 95	Latin	true	reviewed	Preserved exactly
Wachspress	Wachspress	cited person	PDF 102	Latin	true	reviewed	Preserved exactly
Clough	Clough	eponym	PDF 102	Latin	true	reviewed	Preserved in Clough--Tocher element
Tocher	Tocher	eponym	PDF 102	Latin	true	reviewed	Preserved in Clough--Tocher element
Bogner	Bogner	eponym	PDF 104	Latin	true	reviewed	Preserved in Bogner--Fox--Schmit element
Fox	Fox	eponym	PDF 104	Latin	true	reviewed	Preserved in Bogner--Fox--Schmit element
Schmit	Schmit	eponym	PDF 104	Latin	true	reviewed	Preserved in Bogner--Fox--Schmit element
Pascal	Pascal	eponym	PDF 105	Latin	true	reviewed	Preserved in Pascal triangle
